family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components,kernel_fit_components
laplace_kernel8,0.05,1,0.057646971014049496,0.0576470808311529,1.000001904993471,0.01701186737500393,8,8
laplace_kernel8,0.05,2,0.0459200058226012,0.0576470808311529,1.2553805209401736,0.03408606143750603,8,8
laplace_kernel8,0.05,3,0.024453895454303345,0.0576470808311529,2.3573782319825978,0.0510367320312497,8,8
laplace_kernel8,0.05,4,0.008903471223677732,0.0576470808311529,6.474674807489385,0.07168712665624355,8,8
laplace_kernel8,0.05,6,0.0035644716541597668,0.0576470808311529,16.172686003514237,0.12165356653125059,8,8
laplace_kernel8,0.05,8,0.0023603582753946983,0.0576470808311529,24.42302146758342,0.19379661521875846,8,8
laplace_kernel8,0.05,12,0.0018022340341015534,0.0576470808311529,31.986456664542473,0.40890600056251003,8,8
laplace_kernel8,0.05,16,0.0016785773216947417,0.0576470808311529,34.34282120108158,0.7747016460312608,8,8
laplace_kernel8,0.1,1,0.06522296263739077,0.06521983942517111,0.999952114836656,0.015624254437497598,8,8
laplace_kernel8,0.1,2,0.05515751862537495,0.06521983942517111,1.182428815700332,0.030528236999998626,8,8
laplace_kernel8,0.1,3,0.03026155244802287,0.06521983942517111,2.155204678847606,0.04803468024999802,8,8
laplace_kernel8,0.1,4,0.007563734404587503,0.06521983942517111,8.622703539882949,0.07129796362499974,8,8
laplace_kernel8,0.1,6,0.004021206180695186,0.06521983942517111,16.218974231730616,0.13037879506249794,8,8
laplace_kernel8,0.1,8,0.0029671083809892722,0.06521983942517111,21.98094273975458,0.19596211140625996,8,8
laplace_kernel8,0.1,12,0.002602430373826231,0.06521983942517111,25.061127506470594,0.41962564674999214,8,8
laplace_kernel8,0.1,16,0.002605084710004508,0.06521983942517111,25.03559257582002,0.7826043551875017,8,8
laplace_kernel8,0.2,1,0.06737069378622304,0.06736840081016374,0.9999659647848279,0.017691756718747342,8,8
laplace_kernel8,0.2,2,0.060939243034597634,0.06736840081016374,1.1055011098827732,0.034984912843754046,8,8
laplace_kernel8,0.2,3,0.03616133616272412,0.06736840081016374,1.8629953414057892,0.051496832499992706,8,8
laplace_kernel8,0.2,4,0.008979767419977844,0.06736840081016374,7.502243394443055,0.07137473993749666,8,8
laplace_kernel8,0.2,6,0.005471191440124534,0.06736840081016374,12.313296207494854,0.12413962087501318,8,8
laplace_kernel8,0.2,8,0.004229578376899408,0.06736840081016374,15.927923496608598,0.1966718577812543,8,8
