n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual,seed
2048,em_bp,0.2,0.011347216410976725,0.01910044424421711,0.00010376182989967826,7.279675144429216e-15,1
2048,dsm_net_eps,0.2,0.10867775773669963,0.1829341555721408,0.009517881327784323,7.166050683741117e-16,1
2048,dsm_net_x0,0.2,0.20088563368974882,0.3381450310618509,0.03252046190638808,4.289490288937662e-16,1
2048,em_bp,0.4,0.008993694119784396,0.00779923786514219,5.403144697974999e-05,1.3827907704644882e-14,1
2048,dsm_net_eps,0.4,0.1793945742216608,0.15556910624665304,0.0214975505992367,6.417903478987744e-16,1
2048,dsm_net_x0,0.4,0.19031241347515343,0.16503694273044675,0.024193828966519768,6.757240975166441e-16,1
2048,em_bp,0.8,0.012902777408015603,0.00466505729316341,7.513350527669078e-05,2.107248950457e-14,1
2048,dsm_net_eps,0.8,0.406526530751489,0.14698149841510144,0.07458388957895415,5.986951081403502e-16,1
2048,dsm_net_x0,0.8,0.19826312541938823,0.07168292608291503,0.01773989875373301,1.4251454922215604e-15,1
2048,em_bp,1.6,0.017304957323858918,0.0014065072371633484,4.51155354052309e-05,6.556118787933406e-14,1
2048,dsm_net_eps,1.6,1.81038789773551,0.14714417565926238,0.4937741225919017,5.53032133766446e-16,1
2048,dsm_net_x0,1.6,0.2891404564349195,0.02350067306850434,0.012595133497214049,3.965374480629467e-15,1
4096,em_bp,0.1,0.011005051120642234,0.03297806235831171,0.00010537303586915202,6.540605661953607e-15,1
4096,dsm_net_eps,0.1,0.07415218169067021,0.22220662539340139,0.0047840226874009415,9.053866923833942e-16,1
4096,dsm_net_x0,0.1,0.16813226087731226,0.5038301160869443,0.024595036417879086,4.396085920411072e-16,1
4096,em_bp,0.2,0.009348158058471837,0.0157354865999776,7.042243546034103e-05,8.826317890124827e-15,1
4096,dsm_net_eps,0.2,0.09772103470208789,0.16449101763925664,0.00769546842106191,8.200488573055118e-16,1
4096,dsm_net_x0,0.2,0.1643867986832396,0.2767075879241377,0.02177673783248548,5.217221559192326e-16,1
4096,em_bp,0.4,0.006076604616291377,0.005269568231214612,2.466563672231188e-05,2.0677355700533087e-14,1
4096,dsm_net_eps,0.4,0.16588071210117986,0.14385002577197797,0.018380704561069244,7.008393221076595e-16,1
4096,dsm_net_x0,0.4,0.16369187531872767,0.141951889312482,0.017898829076349224,7.896714992132123e-16,1
4096,em_bp,0.8,0.009223381005708312,0.003334754949858653,3.8392601307308444e-05,3.0353540861384787e-14,1
4096,dsm_net_eps,0.8,0.40092435042113483,0.1449560048813217,0.07254243163331028,6.114404871061211e-16,1
4096,dsm_net_x0,0.8,0.1804377235517177,0.06523807174212128,0.014693387063066207,1.5391572053537249e-15,1
4096,em_bp,1.6,0.010947318050546705,0.0008897729001847287,1.8055125934442127e-05,1.0582163924138076e-13,1
4096,dsm_net_eps,1.6,1.780494144053075,0.14471447993026146,0.477602014283262,5.664641089034818e-16,1
4096,dsm_net_x0,1.6,0.30252040260057095,0.02458816440192118,0.01378778142041479,3.873129991431031e-15,1
32,em_bp,0.1,0.050228138190431516,0.15051512757437163,0.0021950252724918214,1.446579846805856e-15,2
32,dsm_net_eps,0.1,0.45660732535820453,1.3682830441996188,0.18139742307726453,1.760249219396686e-16,2
32,dsm_net_x0,0.1,0.6341366044162211,1.9002725434778132,0.3498734678067335,1.587358784780058e-16,2
32,em_bp,0.2,0.05893600712774938,0.09920529206012232,0.002799112576470022,1.4300219631473684e-15,2
32,dsm_net_eps,0.2,0.5371497749815674,0.9041688248674257,0.23251434027569284,1.8656344423456825e-16,2
32,dsm_net_x0,0.2,0.6255630565697577,1.0529923683921532,0.3153560250081322,1.882761943895919e-16,2
32,em_bp,0.4,0.06370327816804024,0.05524281931369217,0.0027107778967315702,2.0058452986861183e-15,2
32,dsm_net_eps,0.4,0.5740127772134748,0.4977779016600669,0.22009668009467026,2.3938900061918266e-16,2
32,dsm_net_x0,0.4,0.6250672147213906,0.5420517780997094,0.26098996746730885,2.517129436843864e-16,2
32,em_bp,0.8,0.11547320723202407,0.04174985823037396,0.0060176884203648195,2.374594319966246e-15,2
32,dsm_net_eps,0.8,0.7651323234113202,0.2766370381114712,0.2642045784645291,3.3349300022522104e-16,2
32,dsm_net_x0,0.8,0.6468813793171115,0.23388287660610063,0.18884980497966813,4.472994599160654e-16,2
