family,t,half_width,n_grid,score_rel,dlogev_per_site,forward_edge_max,forward_edge_mean,belief_edge_max,belief_edge_mean,zero_frac,shifted
student,0.9821,8.0,201,0.0009920419865136595,1.0285090093153926e-05,5.929459639877905e-05,1.7487617995927965e-06,0.002648441673421205,4.88494044335348e-06,0.0,0
student,0.9821,8.0,401,0.0009915339543495687,1.0277489111532034e-05,6.556403754642875e-05,1.89722122426921e-06,0.002875096410361732,5.320552675091724e-06,0.0,0
student,0.9821,8.0,801,0.0009914069488764705,1.0275588725905394e-05,6.875388865467986e-05,1.9717566066017325e-06,0.002988615084372787,5.539285222579527e-06,0.0,0
student,0.9821,10.0,201,4.549964154279501e-05,3.3694703671649506e-07,9.394132852436948e-06,4.905550968343524e-07,0.00022424281507852172,3.349191787272344e-07,0.0,0
student,0.9821,10.0,401,4.540755775971333e-05,3.3614460615005726e-07,1.0376163598389908e-05,5.313879362416262e-07,0.00024710502529143937,3.6950826138628696e-07,0.0,0
student,0.9821,10.0,801,4.53845306871077e-05,3.3594392756519653e-07,1.08754420473636e-05,5.518649721051997e-07,0.0002586448165004217,3.869849980051021e-07,0.0,0
student,1.425,6.0,201,0.0003953635295513004,2.6049859853216617e-05,3.617831401554301e-05,9.273994001651987e-06,0.0002704422905717085,8.128207987144752e-06,0.0,0
student,1.425,6.0,401,0.0003952457175198325,2.6038240388048806e-05,3.9612814673713255e-05,1.0072536702833832e-05,0.00029220084666943996,8.845251045366455e-06,0.0,0
student,1.425,6.0,801,0.00039521626257241964,2.6035335136231907e-05,4.134599201318615e-05,1.0473560054308722e-05,0.0003030853824246743,9.205355624319834e-06,0.0,0
student,1.425,8.0,201,6.0474012738046394e-05,2.425523304649957e-06,4.243511630936672e-06,1.6322723771476108e-06,7.321841216003886e-05,9.355929056158298e-07,0.0,0
student,1.425,8.0,401,6.0452217151721175e-05,2.424155556290941e-06,4.642125901642126e-06,1.7692163822870295e-06,7.934636360988482e-05,1.0182878547615748e-06,0.0,0
student,1.425,8.0,801,6.044676823758699e-05,2.423813598273483e-06,4.843557379377936e-06,1.8379225352023548e-06,8.241561623113286e-05,1.0598187611911272e-06,0.0,0
student,1.425,10.0,201,8.114443058008271e-06,2.2344550854036527e-07,9.727042331438321e-07,4.7480511092237155e-07,1.8203188260712556e-05,1.2217703689850724e-07,0.0,0
student,1.425,10.0,401,8.109072256261505e-06,2.2323956905268005e-07,1.0681215668774576e-06,5.141390808134046e-07,1.9782395409218326e-05,1.3336387402897985e-07,0.0,0
student,1.425,10.0,801,8.10772949224547e-06,2.2318807868515478e-07,1.1167218436038235e-06,5.338599767373476e-07,2.0574310240305966e-05,1.3898872319350688e-07,0.0,0
student,2.0676,6.0,201,0.00019841937788845468,3.242904117439771e-05,1.597303102864311e-05,9.255663036162878e-06,0.00011347715600774527,8.179359528498435e-06,0.0,0
student,2.0676,6.0,401,0.00019837893787904564,3.2417955597274783e-05,1.7420400197479955e-05,1.0053228908634459e-05,0.00012298909191139727,8.89309530025356e-06,0.0,0
student,2.0676,6.0,801,0.00019836882721080285,3.24151838846376e-05,1.8149112710221993e-05,1.0453788270222648e-05,0.00012775814030462564,9.251427494696953e-06,0.0,0
student,2.0676,8.0,201,5.77080729944333e-05,5.510810119790932e-06,2.3129637351291937e-06,1.6371695462052675e-06,3.8420777956718686e-05,1.4096853749536629e-06,0.0,0
student,2.0676,8.0,401,5.769885560085166e-05,5.5091493544878745e-06,2.5168231027681783e-06,1.774792402334399e-06,4.152649766585055e-05,1.5292156993135811e-06,0.0,0
student,2.0676,8.0,801,5.769655139547723e-05,5.50873416171882e-06,2.6194365401804128e-06,1.8438517623153037e-06,4.308265398824925e-05,1.5891834827596166e-06,0.0,0
student,2.0676,10.0,201,1.66251872214224e-05,1.0954935731888327e-06,6.161778640886563e-07,4.765215824726396e-07,2.1459131208378332e-05,3.864841864358434e-07,0.0,0
student,2.0676,10.0,401,1.662149445465568e-05,1.0950620046301651e-06,6.71492250000481e-07,5.160863584892931e-07,2.312156530771482e-05,4.1889134607065523e-07,0.0,0
student,2.0676,10.0,801,1.6620571328605797e-05,1.094954110936186e-06,6.994557739913362e-07,5.359277327449883e-07,2.395331762871357e-05,4.351427607280019e-07,0.0,0
student,3.0,6.0,201,4.286044829591511e-05,3.714995787840181e-05,1.1007108909365404e-05,9.333413040526915e-06,3.054533310612591e-05,9.047380323594929e-06,0.0,0
student,3.0,6.0,401,4.285164195223748e-05,3.713777113878436e-05,1.197184223009577e-05,1.0138316834897087e-05,3.313619977534035e-05,9.8359138238507e-06,0.0,0
student,3.0,6.0,801,4.284944018219522e-05,3.713472410726837e-05,1.2456786640509348e-05,1.0542575375606513e-05,3.443554338729139e-05,1.0231780949787013e-05,0.0,0
student,3.0,8.0,201,1.287481939773565e-05,6.799098807519499e-06,1.8428876812929962e-06,1.6437773317030004e-06,9.510816180032653e-06,1.6474329698958214e-06,0.0,0
student,3.0,8.0,401,1.287281369740315e-05,6.797205877484558e-06,2.0010339609968823e-06,1.7820124024819073e-06,1.0281412341863894e-05,1.7865463081510184e-06,0.0,0
student,3.0,8.0,801,1.2872312297070743e-05,6.796732645142356e-06,2.08052633022689e-06,1.851380414534531e-06,1.0667526278632303e-05,1.8563325965736651e-06,0.0,0
student,3.0,10.0,201,3.934007177878039e-06,1.465183638860168e-06,5.230599580808717e-07,4.775839851196001e-07,4.701114997497764e-06,4.893100573073555e-07,0.0,0
student,3.0,10.0,401,3.933228155502584e-06,1.4646687103159195e-06,5.673477169928295e-07,5.172448051298355e-07,5.072041529612466e-06,5.299703594502939e-07,0.0,0
student,3.0,10.0,801,3.933033415163082e-06,1.4645399777357682e-06,5.896009812598712e-07,5.371345424137195e-07,5.2577840615393546e-06,5.503570034894434e-07,0.0,0
student,0.05,6.0,201,0.06457301184372059,0.0019057351372580023,0.022348327161237247,0.0002522768396753027,0.5721407573922277,0.0022206701040306445,0.0,1
student,0.05,6.0,401,0.06469248754030023,0.0019017981132125605,0.024628995481494647,0.00027747362932205934,0.6024204372182396,0.0024109843330622415,0.0,1
student,0.05,6.0,801,0.06472235329337275,0.0019008144831114127,0.025804168002420164,0.0002902407444519723,0.617234981656908,0.002506129348301936,0.0,1
student,0.05,8.0,201,4.267301992406767e-11,1.6586731987899839e-13,0.0003828314603999407,8.720607933989754e-06,1.82843931098392e-08,1.9705712003188648e-11,0.0017053404850746268,1
student,0.05,8.0,401,3.754279793761229e-11,1.496580637194711e-13,0.0004220548637615678,9.507938085089696e-06,2.7692420184526136e-08,2.990519753776551e-11,0.0016340983478802993,1
student,0.05,8.0,801,3.621730616138104e-11,1.6764367671839864e-13,0.0004419170867733514,9.903964645638535e-06,3.349819540302024e-08,3.6207565521974515e-11,0.0016044397627965044,1
student,0.05,10.0,201,3.1271042557746652e-15,4.1300296516055823e-14,1.879179278096759e-05,1.3470366770801612e-06,2.0622738532486055e-30,2.0777246032448572e-33,0.029423196517412934,1
student,0.05,10.0,401,3.0910796238864505e-15,2.353672812205332e-14,2.0558021877146015e-05,1.4632205059650784e-06,6.811493245485882e-30,6.867198056484918e-33,0.02877084632169576,1
student,0.05,10.0,801,3.3098664175704478e-15,2.353672812205332e-14,2.1447924424276585e-05,1.521535533593025e-06,1.1415270436767093e-29,1.1511915809436529e-32,0.028438572877652935,1
student,0.0725,6.0,201,0.05946127152314383,0.0016197682178433759,0.015544422844816679,0.00019825912077782275,0.4905673310815815,0.0014472259926940612,0.0,1
student,0.0725,6.0,401,0.059540931001708146,0.0016177808383170955,0.017172599244053056,0.00021787508979578894,0.5181052062709715,0.0015710269982389922,0.0,1
student,0.0725,6.0,801,0.05956085105808809,0.0016172840660892973,0.01800244163893186,0.00022779384171883385,0.5316760178900319,0.0016331482305277933,0.0,1
student,0.0725,8.0,201,6.820663353019455e-09,2.532463128090967e-11,0.00023900046161383975,7.876325292726299e-06,1.4002418666516934e-06,1.43043266309796e-09,0.0,1
student,0.0725,8.0,401,6.2616454095159035e-09,2.3136603743978412e-11,0.0002630191586442164,8.581410500818992e-06,1.93488935393341e-06,1.9782497460371545e-09,0.0,1
student,0.0725,8.0,801,6.119028154524153e-09,2.2599699889269687e-11,0.0002751675611690292,8.935908446745297e-06,2.2474475885071484e-06,2.298714605093369e-09,0.0,1
student,0.0725,10.0,201,2.324462802995678e-15,4.1300296516055823e-14,1.3883804346961023e-05,1.2801662283604417e-06,1.0986597655755083e-23,1.3244805619081082e-26,0.00021377487562189055,1
student,0.0725,10.0,401,2.5563903205575204e-15,2.353672812205332e-14,1.5173845280230415e-05,1.390277657081521e-06,2.5536707855897286e-23,3.0495273645411e-26,0.000199696072319202,1
student,0.0725,10.0,801,2.5557803967210162e-15,2.353672812205332e-14,1.582344278292996e-05,1.4455383743222544e-06,3.706501036335806e-23,4.409206690934625e-26,0.00019628784332084893,1
student,0.1053,6.0,201,0.059067655601549744,0.00217733813245502,0.012172429442751721,0.00019229900521182007,0.37535611589702794,0.0019095085431863354,0.0,1
student,0.1053,6.0,401,0.059095704684627465,0.002174111606479734,0.013446937837474924,0.0002114038185247541,0.399611763740279,0.002078403972594116,0.0,1
student,0.1053,6.0,801,0.05910272131209893,0.0021733051462100583,0.014095987502669296,0.00022106292039836357,0.4116145442662509,0.0021631304187947923,0.0,1
student,0.1053,8.0,201,1.5601726145356834e-07,9.465737083047543e-10,0.0002321963987043862,7.616075025918171e-06,1.2106013770295853e-05,1.960343223183845e-08,0.0,1
student,0.1053,8.0,401,1.4867301828823299e-07,8.983407351337291e-10,0.00025574166382026143,8.299482170823182e-06,1.547215975623746e-05,2.5106335057538082e-08,0.0,1
student,0.1053,8.0,801,1.4681725108527665e-07,8.861593681075419e-10,0.00026765777847693995,8.643135971918107e-06,1.7350400311192636e-05,2.8182247639607598e-08,0.0,1
