t,trial,alpha,delta,posterior_mean_mse,posterior_mean_rel_error,score_mse,score_rel_error,score_cosine,score_max_abs_error,identity_residual,grid_self_conv_rel_error,legacy_vs_analytic_max_abs_mean
0.9821,19,0.3745237725257959,0.8597319438130459,0.00022319776707135287,0.04060639829008498,4.235673707924075e-05,0.006793303897982447,0.9999817094309271,0.011939914558026066,1.4053648227825355e-14,1.9744670171973214e-07,0.010378127334367881
0.9821,20,0.3745237725257959,0.8597319438130459,0.00019438058605478762,0.018856781970335593,3.6888036492763255e-05,0.0077467732818677325,0.9999700426506773,0.012651665251939503,9.718235746951882e-15,3.1102946778942446e-07,0.14764755181362754
0.9821,21,0.3745237725257959,0.8597319438130459,0.004511565366697383,0.04655393313959686,0.0008561698020568429,0.022539905633286766,0.9997861037186667,0.07832718533091909,5.100196207974974e-15,2.6380342211772635e-07,4.934608345875088
0.9821,22,0.3745237725257959,0.8597319438130459,0.000955219885510678,0.04047217975651269,0.00018127420392383963,0.015676497661757934,0.9999001927012455,0.04148908787075367,5.3642556945469305e-15,2.7874443595712236e-07,0.33013045078729464
0.9821,23,0.3745237725257959,0.8597319438130459,0.0005219156332042993,0.038224972866646584,9.90450914596864e-05,0.009741015428861957,0.9999531060410183,0.025626741527851937,7.16055360660612e-15,2.7208128097880975e-07,0.2023468879526874
0.9821,24,0.3745237725257959,0.8597319438130459,0.0001644840583486689,0.0399945866020929,3.1214505882462246e-05,0.004362829425735746,0.9999923528699688,0.01071997029422933,2.849999486038648e-14,1.5249185296191563e-07,0.1315716153492252
0.9821,25,0.3745237725257959,0.8597319438130459,0.0002689968405355728,0.024703827964820065,5.104812919597572e-05,0.008831780879890122,0.999970013954466,0.011977241073188205,8.871848493731487e-15,3.4600676021049426e-07,0.06915767402562034
0.9821,26,0.3745237725257959,0.8597319438130459,0.0003681690711142061,0.03275687650826123,6.986826414310561e-05,0.010092501968940284,0.9999584391877429,0.014658900965688115,7.543424463719256e-15,3.13972310728379e-07,0.06473766064538622
0.9821,27,0.3745237725257959,0.8597319438130459,0.00029181029448447927,0.03726702966949346,5.537748913296042e-05,0.007140343609840687,0.9999794787969574,0.01426727435692765,1.344341006457505e-14,2.3120333834124969e-07,0.026055481504067113
0.9821,28,0.3745237725257959,0.8597319438130459,0.00013454602059478584,0.0269767230832862,2.553309781799748e-05,0.0052461563860567734,0.9999915009149519,0.011356173705019401,1.2077429374288664e-14,1.3511819395897692e-07,0.013715580832806995
0.9821,29,0.3745237725257959,0.8597319438130459,0.0003284522588319985,0.027686229097504192,6.233111626955575e-05,0.008522448307254864,0.9999646908408042,0.013764959670031107,1.0833226962945658e-14,3.0185474589324423e-07,0.07676732528140418
0.9821,30,0.3745237725257959,0.8597319438130459,0.0003050937185283771,0.048734411512706126,5.789831408171336e-05,0.008618569628631133,0.9999712721693912,0.016501180941655313,1.4750904574252607e-14,2.3163342620080078e-07,0.011197415052216261
0.9821,31,0.3745237725257959,0.8597319438130459,0.0002064056694328542,0.020819240728232165,3.917006333238615e-05,0.0057480576610820094,0.9999860591651504,0.011221449346783707,1.715695687605399e-14,2.3818776414273678e-07,0.056561854709091475
0.9821,32,0.3745237725257959,0.8597319438130459,0.00021726819034666674,0.04027630523811272,4.123146810538738e-05,0.006321813621764689,0.9999806916307483,0.012087385295381559,2.1674166908023108e-14,2.0757852795482817e-07,0.06232927209944596
0.9821,33,0.3745237725257959,0.8597319438130459,0.0003061312263443251,0.026983106998424843,5.809520424936339e-05,0.008543494643128473,0.9999641756315525,0.016022908572448813,9.27432464725254e-15,2.8509983810748395e-07,0.12030545726448583
0.9821,34,0.3745237725257959,0.8597319438130459,0.00015365131580277237,0.02550895153968781,2.9158752216624365e-05,0.005220115819075135,0.9999883213959593,0.010654503035811613,1.9341900164729614e-14,1.963851453194688e-07,0.06462063197118606
0.9821,35,0.3745237725257959,0.8597319438130459,0.000323460174232138,0.03441364111276511,6.138375726301985e-05,0.006726802694331392,0.9999776079284783,0.02548061765002929,1.237616515922784e-14,2.1812899889636653e-07,0.6553000955977974
