rho,half_width,t,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.8,8.0,2.4,3.1766327885609217e-15,1.6075502369107588e-15,2.534386732450494e-13,0.23997015382514542,1.0
0.95,4.0,0.005,7.76625520772879e-15,5.223803728482589e-16,2.629066383952465e-15,7.05982952366895,1.0
0.95,4.0,0.01,5.931455296285924e-15,9.34941828217447e-16,1.8139122966438638e-15,6.960729664206295,1.0
0.95,4.0,0.02,3.941493790973494e-15,1.0736570241653025e-15,2.426200990396616e-15,5.965684797517108,1.0
0.95,4.0,0.05,5.61716507835427e-15,8.304758154718371e-15,2.3105688439068867e-15,3.3716234748894096,1.0
0.95,4.0,0.1,1.2957983489317423e-15,2.0976682346482275e-16,1.07923963035051e-15,2.5857791637080667,1.0
0.95,4.0,0.2,1.6219696190515878e-07,3.2239982956162095e-07,6.481537602079992e-08,1.7456546104015949,1.0
0.95,4.0,0.4,6.419369420150251e-08,1.0809189181203725e-07,5.390927098163926e-08,0.00024668046224594724,1.0
0.95,4.0,0.8,0.0018446487706489608,0.0028188729291000547,0.0019609513260686207,1.9126471833230937e-09,1.0
0.95,4.0,1.6,7.06016173218411e-05,8.283451738956053e-05,0.0006113664613468214,2.3700201774354024e-11,1.0
0.95,4.0,2.4,0.0001878428479920253,0.00016401070008265512,0.004912734941205641,6.9618993718580115e-12,1.0
0.95,5.0,0.005,7.722041938478056e-15,8.230166589436182e-16,2.6139222447968167e-15,8.343368296671803,1.0
0.95,5.0,0.01,6.282716156279741e-15,1.580174868108671e-15,1.7867502199310252e-15,6.773341425274439,1.0
0.95,5.0,0.02,4.035533818849025e-15,1.0493694100980679e-15,2.3839148340476102e-15,5.552966900541899,1.0
0.95,5.0,0.05,1.9023841636015863e-15,1.3955207751342608e-16,1.919080105475282e-15,3.3115163451993226,1.0
0.95,5.0,0.1,1.2818120178992816e-15,2.6245587843939576e-16,1.1023641499517324e-15,2.7647419409630034,1.0
0.95,5.0,0.2,4.159489766868851e-14,8.627819089704647e-14,1.653141488241785e-14,1.6367886413681283,1.0
