family,excess_kurtosis,radius,receptive_field,parameterization,t,n_params,score_rel_l2_all,score_rel_l2_interior,seconds
gaussian,0.0,16,33,x0,1.6,6593,0.009553453740238946,0.009348309244386992,101.94107034800072
laplace,3.0,0,1,eps,0.1,4545,0.801741864719413,0.801741864719413,82.83691013099997
laplace,3.0,0,1,eps,0.2,4545,0.69136830273581,0.69136830273581,82.83691013099997
laplace,3.0,0,1,eps,0.4,4545,0.5246651392882549,0.5246651392882549,82.83691013099997
laplace,3.0,0,1,eps,0.8,4545,0.2988025315200127,0.2988025315200127,82.83691013099997
laplace,3.0,0,1,eps,1.6,4545,0.08590340185625042,0.08590340185625042,82.83691013099997
laplace,3.0,0,1,x0,0.1,4545,0.8034463550208016,0.8034463550208016,80.66694305300007
laplace,3.0,0,1,x0,0.2,4545,0.6924865156324584,0.6924865156324584,80.66694305300007
laplace,3.0,0,1,x0,0.4,4545,0.524666162507437,0.524666162507437,80.66694305300007
laplace,3.0,0,1,x0,0.8,4545,0.2990466140795182,0.2990466140795182,80.66694305300007
laplace,3.0,0,1,x0,1.6,4545,0.07839935783545507,0.07839935783545507,80.66694305300007
laplace,3.0,1,3,eps,0.1,4673,0.26734732610573514,0.2566589680622012,83.29982913800086
laplace,3.0,1,3,eps,0.2,4673,0.28383132263105115,0.27885886919801944,83.29982913800086
laplace,3.0,1,3,eps,0.4,4673,0.27641636835020034,0.2756265270515711,83.29982913800086
laplace,3.0,1,3,eps,0.8,4673,0.20448059883272793,0.20656740784676267,83.29982913800086
laplace,3.0,1,3,eps,1.6,4673,0.0771315873767651,0.078090724932886,83.29982913800086
laplace,3.0,1,3,x0,0.1,4673,0.2705577480049837,0.2610566055564548,80.91019181900083
laplace,3.0,1,3,x0,0.2,4673,0.28134781852712565,0.27671392646981946,80.91019181900083
laplace,3.0,1,3,x0,0.4,4673,0.2729227333926566,0.27225228131544027,80.91019181900083
laplace,3.0,1,3,x0,0.8,4673,0.19880016624352675,0.20086414371356923,80.91019181900083
laplace,3.0,1,3,x0,1.6,4673,0.06218457722169038,0.0632895532524654,80.91019181900083
laplace,3.0,2,5,eps,0.1,4801,0.16350321285809777,0.1437761793677535,86.86738390000028
laplace,3.0,2,5,eps,0.2,4801,0.16324976079060702,0.1565526634562171,86.86738390000028
laplace,3.0,2,5,eps,0.4,4801,0.17212062124730948,0.1732109264164138,86.86738390000028
laplace,3.0,2,5,eps,0.8,4801,0.1441956137436003,0.14832241137943375,86.86738390000028
laplace,3.0,2,5,eps,1.6,4801,0.06415510850130247,0.06607547240924863,86.86738390000028
laplace,3.0,2,5,x0,0.1,4801,0.1847134260564936,0.15333799332374715,89.87540689200068
laplace,3.0,2,5,x0,0.2,4801,0.16451779509466566,0.14819280372520252,89.87540689200068
laplace,3.0,2,5,x0,0.4,4801,0.16418789046295146,0.16032067813762588,89.87540689200068
laplace,3.0,2,5,x0,0.8,4801,0.13915041967824118,0.1418761306103847,89.87540689200068
laplace,3.0,2,5,x0,1.6,4801,0.05048550735725963,0.05214937988509373,89.87540689200068
laplace,3.0,3,7,eps,0.1,4929,0.13079441738274114,0.08757658703584908,89.78556257000128
laplace,3.0,3,7,eps,0.2,4929,0.10663720074233286,0.0794779057633098,89.78556257000128
laplace,3.0,3,7,eps,0.4,4929,0.10786164043649972,0.10011970654473815,89.78556257000128
laplace,3.0,3,7,eps,0.8,4929,0.10460468669787676,0.10583177478012264,89.78556257000128
laplace,3.0,3,7,eps,1.6,4929,0.06870542208766972,0.06990569456744748,89.78556257000128
laplace,3.0,3,7,x0,0.1,4929,0.24567928942115322,0.2193933033062254,89.54752691400063
laplace,3.0,3,7,x0,0.2,4929,0.15600052015587504,0.13578351781530684,89.54752691400063
laplace,3.0,3,7,x0,0.4,4929,0.11526360909552044,0.10855577483180626,89.54752691400063
laplace,3.0,3,7,x0,0.8,4929,0.09926937559589757,0.10160512271416569,89.54752691400063
laplace,3.0,3,7,x0,1.6,4929,0.0394548840825712,0.04113891835093585,89.54752691400063
laplace,3.0,4,9,eps,0.1,5057,0.11390050553198378,0.08123699664500367,85.75220476399954
laplace,3.0,4,9,eps,0.2,5057,0.08680455696319736,0.06795623301047227,85.75220476399954
laplace,3.0,4,9,eps,0.4,5057,0.07481960983469488,0.06859996877831825,85.75220476399954
laplace,3.0,4,9,eps,0.8,5057,0.0745195953732028,0.0758922293170398,85.75220476399954
laplace,3.0,4,9,eps,1.6,5057,0.04528620338970006,0.047417144122552594,85.75220476399954
laplace,3.0,4,9,x0,0.1,5057,0.1884320242747405,0.16053226492610081,90.28312720099893
laplace,3.0,4,9,x0,0.2,5057,0.11732638603108869,0.09643696812655411,90.28312720099893
laplace,3.0,4,9,x0,0.4,5057,0.08172985310592776,0.0719529341707825,90.28312720099893
laplace,3.0,4,9,x0,0.8,5057,0.07102152664095507,0.07331783834462757,90.28312720099893
laplace,3.0,4,9,x0,1.6,5057,0.032170722889030584,0.033651809264354016,90.28312720099893
laplace,3.0,6,13,eps,0.1,5313,0.12663432347152895,0.09655052914626497,88.66970621099972
laplace,3.0,6,13,eps,0.2,5313,0.09361396415393665,0.07304140924140401,88.66970621099972
