init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01_exact,gauss_mix_kappa0.6,-0.72,0.85,0.4,5,0.03075124391874486,0.6135076929607344,0.010138814570293097,43,1.0671322508722443
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.1,1,0.0775213873291326,0.3222941279000683,0.010177573224177927,43,1.0789734838979899
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.1,2,0.030486295529004764,0.3222941279000683,0.010177573224177927,43,1.0789734838979899
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.1,3,0.008454773385201522,0.3222941279000683,0.010177573224177927,43,1.0789734838979899
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.1,4,0.002564930219671527,0.3222941279000683,0.010177573224177927,43,1.0789734838979899
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.1,5,0.000929390119466671,0.3222941279000683,0.010177573224177927,43,1.0789734838979899
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.4,1,0.2216460622189613,0.6092830232270088,0.016026458171726515,43,1.083574846151068
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.4,2,0.13223915881607426,0.6092830232270088,0.016026458171726515,43,1.083574846151068
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.4,3,0.08115482297324804,0.6092830232270088,0.016026458171726515,43,1.083574846151068
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.4,4,0.04363227202516697,0.6092830232270088,0.016026458171726515,43,1.083574846151068
invariant,gauss_mix_kappa0.6,-0.72,0.85,0.4,5,0.03239899445136054,0.6092830232270088,0.016026458171726515,43,1.083574846151068
n01,gauss_mix_kappa0.9,-1.62,0.85,0.1,1,0.11161004391378776,0.45554081124107426,0.056257303361441184,44,1.4670160461761763
n01,gauss_mix_kappa0.9,-1.62,0.85,0.1,2,0.03710209651355475,0.45554081124107426,0.056257303361441184,44,1.4670160461761763
n01,gauss_mix_kappa0.9,-1.62,0.85,0.1,3,0.029376054437517257,0.45554081124107426,0.056257303361441184,44,1.4670160461761763
n01,gauss_mix_kappa0.9,-1.62,0.85,0.1,4,0.015930329778004022,0.45554081124107426,0.056257303361441184,44,1.4670160461761763
n01,gauss_mix_kappa0.9,-1.62,0.85,0.1,5,0.003341385437874909,0.45554081124107426,0.056257303361441184,44,1.4670160461761763
n01,gauss_mix_kappa0.9,-1.62,0.85,0.4,1,0.2552146467418536,0.628931692745489,0.025702725027938075,44,1.0165936063582532
n01,gauss_mix_kappa0.9,-1.62,0.85,0.4,2,0.14297436036884695,0.628931692745489,0.025702725027938075,44,1.0165936063582532
n01,gauss_mix_kappa0.9,-1.62,0.85,0.4,3,0.0806218941038097,0.628931692745489,0.025702725027938075,44,1.0165936063582532
n01,gauss_mix_kappa0.9,-1.62,0.85,0.4,4,0.06787985017561854,0.628931692745489,0.025702725027938075,44,1.0165936063582532
n01,gauss_mix_kappa0.9,-1.62,0.85,0.4,5,0.036448666033392946,0.628931692745489,0.025702725027938075,44,1.0165936063582532
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.1,1,0.08266358090410274,0.4542743616323512,0.011493685232927466,44,1.504283429763056
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.1,2,0.03482288522034251,0.4542743616323512,0.011493685232927466,44,1.504283429763056
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.1,3,0.015824458745657348,0.4542743616323512,0.011493685232927466,44,1.504283429763056
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.1,4,0.008389374517862912,0.4542743616323512,0.011493685232927466,44,1.504283429763056
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.1,5,0.003258163939992503,0.4542743616323512,0.011493685232927466,44,1.504283429763056
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.4,1,0.2182412991465234,0.6326333887880694,0.01116187462229238,44,1.1003993917278492
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.4,2,0.13550404804192057,0.6326333887880694,0.01116187462229238,44,1.1003993917278492
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.4,3,0.09639609196856148,0.6326333887880694,0.01116187462229238,44,1.1003993917278492
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.4,4,0.056045048390397284,0.6326333887880694,0.01116187462229238,44,1.1003993917278492
n01_exact,gauss_mix_kappa0.9,-1.62,0.85,0.4,5,0.03438784768975307,0.6326333887880694,0.01116187462229238,44,1.1003993917278492
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.1,1,0.07498851471438546,0.573424297024446,0.02812810976588311,44,1.9197048843038853
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.1,2,0.05109913537212904,0.573424297024446,0.02812810976588311,44,1.9197048843038853
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.1,3,0.020339919785717007,0.573424297024446,0.02812810976588311,44,1.9197048843038853
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.1,4,0.015136888981660795,0.573424297024446,0.02812810976588311,44,1.9197048843038853
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.1,5,0.008542080677303313,0.573424297024446,0.02812810976588311,44,1.9197048843038853
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.4,1,0.23314986538784552,0.6403582659907897,0.011124487709282132,44,1.138840379758961
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.4,2,0.13298779560187876,0.6403582659907897,0.011124487709282132,44,1.138840379758961
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.4,3,0.0873852918560862,0.6403582659907897,0.011124487709282132,44,1.138840379758961
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.4,4,0.05985944955711436,0.6403582659907897,0.011124487709282132,44,1.138840379758961
invariant,gauss_mix_kappa0.9,-1.62,0.85,0.4,5,0.03741879543985523,0.6403582659907897,0.011124487709282132,44,1.138840379758961
