family,rho,n,t,n_chains,rep,rho_true,q_true,rho_hat,q_hat,rho_abs_err,q_rel_err,loglik,em_iters,em_converged,restart_rho_std,restart_rho_range,restart_loglik_range,ridge_width,ridge_width_censored,profile_curvature,profile_peak_at_edge,profile_scan_lo,profile_scan_hi,profile_peak_rho
uniform,0.5,80,0.15,4000,1,0.5,0.75,0.49770027904352526,0.7536874022326178,0.002299720956474738,0.00491653631015702,-107.67994551775179,21,1,2.8155176582736298e-05,6.701096656763772e-05,1.361415797873633e-07,0.24750000000000005,0,59.30386832221886,0,0.04999999999999999,0.95,0.49999999999999994
mixture,0.5,80,0.08,4000,1,0.5,0.75,0.49967140076131056,0.752402225402441,0.0003285992386894421,0.0032029672032545995,-105.64481420609386,11,1,1.3905341346918592e-05,3.1600681906718275e-05,1.8001117041421821e-07,0.20250000000000012,0,77.46831686683511,0,0.04999999999999999,0.95,0.49999999999999994
mixture,0.95,80,0.3,250,2,0.95,0.09750000000000003,0.9500175354190272,0.10108343130504271,1.7535419027270294e-05,0.03675314159018136,-94.42887557300986,160,1,8.855416111579519e-08,2.642601368840758e-07,5.022999971515674e-08,0.08662500000000006,0,482.0576596330242,0,0.49999999999999994,0.995,0.9455
laplace,0.95,40,0.15,4000,1,0.95,0.09750000000000003,0.9495711624460934,0.0975986044106793,0.000428837553906547,0.0010113272890181586,-40.04742111920047,82,1,5.682002092265768e-07,1.4593607606805392e-06,3.332374376441294e-08,0.09900000000000009,0,328.0384152901445,0,0.49999999999999994,0.995,0.9455
laplace,0.7,80,2.4,250,2,0.7,0.51,0.6232748018809976,0.4776553913374714,0.07672519811900236,0.06342080129907565,-113.10066835405942,2,1,0.2069713357671152,0.5861702992027851,0.003374959589791615,0.726375,1,0.07252537767156993,0,0.24999999999999994,0.995,0.6970000000000001
gaussian,0.5,40,0.08,250,0,0.5,0.75,0.5079877261412965,0.746368256003233,0.007987726141296503,0.004842325329022697,-52.74801312072564,12,1,2.5958450531506262e-06,6.883642852173466e-06,7.749672903401006e-08,0.315,0,38.875631393980015,0,0.04999999999999999,0.95,0.49999999999999994
student,0.5,40,2.4,1000,0,0.5,0.75,0.6233023364116986,0.477685118067382,0.12330233641169863,0.3630865092434907,-56.51775934223908,2,1,0.20250964516336034,0.5711321497706249,0.0018806374469875209,0.8999999999999999,1,0.041748789252228746,0,0.04999999999999999,0.95,0.5900000000000001
laplace,0.95,40,2.4,250,1,0.95,0.09750000000000003,0.8327283058602856,0.6907082818464537,0.11727169413971439,6.0841875061174715,-56.98379191769736,300,0,0.2576968230708439,0.7111272253301522,0.00855083615661556,0.49500000000000005,1,13.126647738417825,0,0.49999999999999994,0.995,0.9455
student,0.95,40,0.8,1000,2,0.95,0.09750000000000003,0.9464444369076118,0.10112326822127365,0.0035555630923881365,0.03716172534639613,-54.4682240289185,300,0,0.00026122048897853875,0.0008226003376026192,0.0002940162551610115,0.24750000000000005,0,97.31349437895197,0,0.49999999999999994,0.995,0.9455
laplace,0.95,20,0.3,250,2,0.95,0.09750000000000003,0.9396085265898134,0.10119188788019998,0.010391473410186536,0.03786551671999943,-23.923285883992097,138,1,1.7411632409222366e-06,4.943586839445402e-06,4.109104168037447e-09,0.2103750000000001,0,132.63266375140498,0,0.49999999999999994,0.995,0.9455
