stage,seed,n_chains,method,region,checkpoint,at_cap,n_params,sq_err,sq_ref,risk,val_bundle,test_bundle
confirm,4,128,window,bulk,4000,False,4801,19082.844056521346,1080611.4327314429,0.13288830795009265,d56925e89643,cda0bb196d30
confirm,4,128,window,centre,4000,False,4801,805.0659015009695,43886.919145101296,0.13544038169072006,d56925e89643,cda0bb196d30
confirm,4,512,em_bp,all,160,False,25,2329.210256480127,1422798.9379254542,0.04046062440952982,d56925e89643,cda0bb196d30
confirm,4,512,em_bp,bulk,160,False,25,1820.1416771727413,1080611.4327314429,0.04104098902584724,d56925e89643,cda0bb196d30
confirm,4,512,em_bp,centre,160,False,25,75.40313415039309,43886.919145101296,0.04145024975008695,d56925e89643,cda0bb196d30
confirm,4,512,window,all,32000,False,4801,27859.701737433803,1422798.9379254542,0.13993181432692725,d56925e89643,cda0bb196d30
confirm,4,512,window,bulk,32000,False,4801,15288.618629124272,1080611.4327314429,0.11894586383904558,d56925e89643,cda0bb196d30
confirm,4,512,window,centre,32000,False,4801,641.4659092263179,43886.919145101296,0.12089803525694831,d56925e89643,cda0bb196d30
confirm,4,2048,em_bp,all,1200,True,25,484.0693008151786,1422798.9379254542,0.01844514205700206,d56925e89643,cda0bb196d30
confirm,4,2048,em_bp,bulk,1200,True,25,376.2813001415115,1080611.4327314429,0.01866042535164493,d56925e89643,cda0bb196d30
confirm,4,2048,em_bp,centre,1200,True,25,16.080279226788196,43886.919145101296,0.019141644474774323,d56925e89643,cda0bb196d30
confirm,4,2048,window,all,64000,True,4801,22126.011357061758,1422798.9379254542,0.12470383208296475,d56925e89643,cda0bb196d30
confirm,4,2048,window,bulk,64000,True,4801,13523.58792113497,1080611.4327314429,0.11186936822145124,d56925e89643,cda0bb196d30
confirm,4,2048,window,centre,64000,True,4801,564.7768267916214,43886.919145101296,0.11344121967830455,d56925e89643,cda0bb196d30
confirm,5,32,em_bp,all,20,False,25,30113.794747140513,1421287.371714067,0.14555991534318066,fbfed993263b,dfb02d4a223d
confirm,5,32,em_bp,bulk,20,False,25,23326.970507264672,1082905.7343219616,0.14676883380011135,fbfed993263b,dfb02d4a223d
confirm,5,32,em_bp,centre,20,False,25,990.6125339828194,45796.59366829769,0.14707380253315575,fbfed993263b,dfb02d4a223d
confirm,5,32,window,all,4000,False,4801,56088.320688278596,1421287.371714067,0.19865306491924822,fbfed993263b,dfb02d4a223d
confirm,5,32,window,bulk,4000,False,4801,31897.92966706939,1082905.7343219616,0.17162712256773074,fbfed993263b,dfb02d4a223d
confirm,5,32,window,centre,4000,False,4801,1473.4893228057374,45796.59366829769,0.17937293250530714,fbfed993263b,dfb02d4a223d
confirm,5,128,em_bp,all,160,False,25,6221.557511130497,1421287.371714067,0.06616199792908167,fbfed993263b,dfb02d4a223d
confirm,5,128,em_bp,bulk,160,False,25,4819.336876594099,1082905.7343219616,0.06671113286851442,fbfed993263b,dfb02d4a223d
confirm,5,128,em_bp,centre,160,False,25,222.59455292033886,45796.59366829769,0.06971731902688105,fbfed993263b,dfb02d4a223d
confirm,5,128,window,all,2000,False,4801,39284.886343060076,1421287.371714067,0.16625388470082664,fbfed993263b,dfb02d4a223d
confirm,5,128,window,bulk,2000,False,4801,19442.875474401135,1082905.7343219616,0.13399386693003817,fbfed993263b,dfb02d4a223d
confirm,5,128,window,centre,2000,False,4801,847.8874357392746,45796.59366829769,0.13606690664594437,fbfed993263b,dfb02d4a223d
confirm,5,512,em_bp,all,300,False,25,1811.8762882751776,1421287.371714067,0.035704530125162955,fbfed993263b,dfb02d4a223d
confirm,5,512,em_bp,bulk,300,False,25,1399.7324824718075,1082905.7343219616,0.035952342615802164,fbfed993263b,dfb02d4a223d
confirm,5,512,em_bp,centre,300,False,25,55.32682320704452,45796.59366829769,0.03475771988431237,fbfed993263b,dfb02d4a223d
confirm,5,512,window,all,32000,False,4801,25902.61884298895,1421287.371714067,0.13499910486046718,fbfed993263b,dfb02d4a223d
confirm,5,512,window,bulk,32000,False,4801,16352.32075504495,1082905.7343219616,0.12288372618862682,fbfed993263b,dfb02d4a223d
confirm,5,512,window,centre,32000,False,4801,709.7282021078058,45796.59366829769,0.1244885599519456,fbfed993263b,dfb02d4a223d
confirm,5,2048,em_bp,all,1200,True,25,563.0353251290214,1421287.371714067,0.019903381759673607,fbfed993263b,dfb02d4a223d
confirm,5,2048,em_bp,bulk,1200,True,25,436.0999052681584,1082905.7343219616,0.020067703210552925,fbfed993263b,dfb02d4a223d
confirm,5,2048,em_bp,centre,1200,True,25,20.896206384030375,45796.59366829769,0.021360781430036262,fbfed993263b,dfb02d4a223d
confirm,5,2048,window,all,64000,True,4801,21152.271514373126,1421287.371714067,0.12199374331414536,fbfed993263b,dfb02d4a223d
confirm,5,2048,window,bulk,64000,True,4801,14086.316924075953,1082905.7343219616,0.11405213012258085,fbfed993263b,dfb02d4a223d
confirm,5,2048,window,centre,64000,True,4801,596.9855302574771,45796.59366829769,0.11417349987678124,fbfed993263b,dfb02d4a223d
confirm,6,32,em_bp,all,60,False,25,7363.75628599856,1424299.0266301145,0.07190334829798518,5074272f0704,e4d1706a5ff6
confirm,6,32,em_bp,bulk,60,False,25,5683.572047721857,1082386.513361907,0.07246353203652642,5074272f0704,e4d1706a5ff6
confirm,6,32,em_bp,centre,60,False,25,234.62103340947226,45235.31101642908,0.07201860110407408,5074272f0704,e4d1706a5ff6
confirm,6,32,window,all,1000,False,4801,55404.722392082425,1424299.0266301145,0.19722992194132635,5074272f0704,e4d1706a5ff6
confirm,6,32,window,bulk,1000,False,4801,30393.710805186547,1082386.513361907,0.16757170066818938,5074272f0704,e4d1706a5ff6
confirm,6,32,window,centre,1000,False,4801,1277.1583572786776,45235.31101642908,0.1680287453068795,5074272f0704,e4d1706a5ff6
confirm,6,128,em_bp,all,160,False,25,13146.207080290067,1424299.0266301145,0.09607262248944318,5074272f0704,e4d1706a5ff6
confirm,6,128,em_bp,bulk,160,False,25,10157.247005285773,1082386.513361907,0.0968716775914644,5074272f0704,e4d1706a5ff6
confirm,6,128,em_bp,centre,160,False,25,414.3474114434852,45235.31101642908,0.09570696065982436,5074272f0704,e4d1706a5ff6
confirm,6,128,window,all,4000,False,4801,35631.37426128845,1424299.0266301145,0.15816693459162037,5074272f0704,e4d1706a5ff6
confirm,6,128,window,bulk,4000,False,4801,18521.46402966482,1082386.513361907,0.13081166398544136,5074272f0704,e4d1706a5ff6
confirm,6,128,window,centre,4000,False,4801,772.3031734484241,45235.31101642908,0.13066375037388006,5074272f0704,e4d1706a5ff6
confirm,6,512,em_bp,all,120,False,25,2342.233440740856,1424299.0266301145,0.04055220744634976,5074272f0704,e4d1706a5ff6
confirm,6,512,em_bp,bulk,120,False,25,1832.77159040808,1082386.513361907,0.04114935062242542,5074272f0704,e4d1706a5ff6
confirm,6,512,em_bp,centre,120,False,25,67.93383479413352,45235.31101642908,0.03875290601239344,5074272f0704,e4d1706a5ff6
confirm,6,512,window,all,32000,False,4801,26021.616297614673,1424299.0266301145,0.1351657148477659,5074272f0704,e4d1706a5ff6
confirm,6,512,window,bulk,32000,False,4801,16910.24869413214,1082386.513361907,0.124992458743052,5074272f0704,e4d1706a5ff6
confirm,6,512,window,centre,32000,False,4801,706.3246515818595,45235.31101642908,0.1249578060968125,5074272f0704,e4d1706a5ff6
confirm,6,2048,em_bp,all,1200,True,25,2081.1458851531065,1424299.0266301145,0.038225279848918735,5074272f0704,e4d1706a5ff6
confirm,6,2048,em_bp,bulk,1200,True,25,1607.750098411155,1082386.513361907,0.038540565817511016,5074272f0704,e4d1706a5ff6
confirm,6,2048,em_bp,centre,1200,True,25,66.38143638843056,45235.31101642908,0.03830756370444023,5074272f0704,e4d1706a5ff6
confirm,6,2048,window,all,16000,False,4801,26170.28289315784,1424299.0266301145,0.13555127904546327,5074272f0704,e4d1706a5ff6
confirm,6,2048,window,bulk,16000,False,4801,14334.341256641337,1082386.513361907,0.1150794250929214,5074272f0704,e4d1706a5ff6
confirm,6,2048,window,centre,16000,False,4801,610.1324838627745,45235.31101642908,0.11613771672838591,5074272f0704,e4d1706a5ff6
confirm,7,32,em_bp,all,60,False,25,5883.528601469311,1423420.0844773408,0.06429132698791057,55baeb99fbcb,a7422d0c3db0
confirm,7,32,em_bp,bulk,60,False,25,4334.80534293405,1080119.1712358599,0.063350341846891,55baeb99fbcb,a7422d0c3db0
confirm,7,32,em_bp,centre,60,False,25,188.9706108150428,45937.80816655107,0.06413749569455644,55baeb99fbcb,a7422d0c3db0
confirm,7,32,window,all,1000,False,4801,65601.31306139413,1423420.0844773408,0.2146790779833454,55baeb99fbcb,a7422d0c3db0
