t,arm,n_obs,seed,psi,p_hat,p_true
0.05,joint,4096,123393400,1.4726215563702159,1.1540810896656153e-302,0.0
0.05,joint,4096,123393400,1.5217089415825562,1.0776895616471427e-302,0.0
0.05,joint,4096,123393400,1.5707963267948966,1.025426716527162e-302,0.0
0.05,joint,4096,123393400,1.619883712007237,9.877013247834998e-303,0.0
0.05,joint,4096,123393400,1.6689710972195773,9.566024957858258e-303,0.0
0.05,joint,4096,123393400,1.7180584824319185,9.254350578274795e-303,0.0
0.05,joint,4096,123393400,1.7671458676442588,8.886889100935198e-303,0.0
0.05,joint,4096,123393400,1.8162332528565992,8.42252450450849e-303,0.0
0.05,joint,4096,123393400,1.8653206380689396,7.83948232833047e-303,0.0
0.05,joint,4096,123393400,1.91440802328128,7.138487784961212e-303,0.0
0.05,joint,4096,123393400,1.9634954084936211,6.342631153047307e-303,0.0
0.05,joint,4096,123393400,2.0125827937059615,5.492949640758158e-303,0.0
0.05,joint,4096,123393400,2.061670178918302,4.639095601694487e-303,0.0
0.05,joint,4096,123393400,2.110757564130642,3.8291361873966746e-303,0.0
0.05,joint,4096,123393400,2.1598449493429825,3.1011045266790245e-303,0.0
0.05,joint,4096,123393400,2.208932334555323,2.478033429911142e-303,0.0
0.05,joint,4096,123393400,2.258019719767664,1.9675727634821516e-303,0.0
0.05,joint,4096,123393400,2.3071071049800045,1.5649245595520245e-303,0.0
0.05,joint,4096,123393400,2.356194490192345,1.2573609285416983e-303,0.0
0.05,joint,4096,123393400,2.405281875404685,1.0285991292000501e-303,0.0
0.05,joint,4096,123393400,2.4543692606170255,8.623180312279113e-304,0.0
0.05,joint,4096,123393400,2.5034566458293668,7.440755174760026e-304,0.0
0.05,joint,4096,123393400,2.552544031041707,6.622412083228941e-304,0.0
0.05,joint,4096,123393400,2.6016314162540475,6.079938063996503e-304,0.0
0.05,joint,4096,123393400,2.650718801466388,5.749918463801732e-304,0.0
0.05,joint,4096,123393400,2.699806186678728,5.588824974345561e-304,0.0
0.05,joint,4096,123393400,2.7488935718910685,5.569138429436754e-304,0.0
0.05,joint,4096,123393400,2.7979809571034098,5.676611533335417e-304,0.0
0.05,joint,4096,123393400,2.84706834231575,5.909618752790481e-304,0.0
0.05,joint,4096,123393400,2.8961557275280905,6.280442275886741e-304,0.0
0.05,joint,4096,123393400,2.945243112740431,6.8184495328389204e-304,0.0
0.05,joint,4096,123393400,2.994330497952771,7.576371750886568e-304,0.0
0.05,joint,4096,123393400,3.0434178831651124,8.639060888648498e-304,0.0
0.05,joint,4096,123393400,3.0925052683774528,1.0135128922368653e-303,0.0
