seed,n_obs,t,arm,psi_hat_deg,psi_true_deg,psi_err_deg,is_flat,profile_range_nats
1719885688,128,0.9821,joint,31.81854878556245,29.999999999999996,1.8185487855624505,False,141.69359578309377
1719885688,128,0.9821,marginal,,29.999999999999996,,True,0.0
1719885688,128,2.0676,joint,-145.6782543417382,29.999999999999996,175.67825434173818,False,8.416699454108539
1719885688,128,2.0676,marginal,,29.999999999999996,,True,0.0
1719885688,512,0.05,joint,30.32294412095543,29.999999999999996,0.3229441209554312,False,48174.791383042735
1719885688,512,0.05,marginal,,29.999999999999996,,True,0.0
1719885688,512,0.1053,joint,30.3367048924907,29.999999999999996,0.33670489249070323,False,24090.308035647973
1719885688,512,0.1053,marginal,,29.999999999999996,,True,0.0
1719885688,512,0.2216,joint,30.349493775349178,29.999999999999996,0.3494937753491792,False,10223.94459768791
1719885688,512,0.2216,marginal,,29.999999999999996,,True,0.0
1719885688,512,0.4665,joint,30.084118703115855,29.999999999999996,0.08411870311585941,False,3525.204511958347
1719885688,512,0.4665,marginal,,29.999999999999996,,True,0.0
1719885688,512,0.9821,joint,29.725967451529993,29.999999999999996,0.2740325484700053,False,649.6734084195741
1719885688,512,0.9821,marginal,,29.999999999999996,,True,0.0
1719885688,512,2.0676,joint,28.306656383849717,29.999999999999996,1.6933436161502804,False,19.55424472071718
1719885688,512,2.0676,marginal,,29.999999999999996,,True,0.0
1719885688,1024,0.05,joint,29.92747240199275,29.999999999999996,0.07252759800724921,False,96150.27424926659
1719885688,1024,0.05,marginal,,29.999999999999996,,True,0.0
1719885688,1024,0.1053,joint,30.046602167202142,29.999999999999996,0.04660216720214348,False,47536.19150355541
1719885688,1024,0.1053,marginal,,29.999999999999996,,True,0.0
1719885688,1024,0.2216,joint,29.994485819090013,29.999999999999996,0.00551418090998494,False,20491.542505760517
1719885688,1024,0.2216,marginal,,29.999999999999996,,True,0.0
1719885688,1024,0.4665,joint,30.187795369438266,29.999999999999996,0.18779536943826752,False,6804.95511526613
1719885688,1024,0.4665,marginal,,29.999999999999996,,True,0.0
1719885688,1024,0.9821,joint,30.492610674363476,29.999999999999996,0.4926106743634774,False,1306.8038430145116
1719885688,1024,0.9821,marginal,,29.999999999999996,,True,0.0
1719885688,1024,2.0676,joint,33.85415339483851,29.999999999999996,3.8541533948385163,False,29.86093849917779
1719885688,1024,2.0676,marginal,,29.999999999999996,,True,0.0
1719885688,2048,0.05,joint,30.04759329019294,29.999999999999996,0.04759329019293985,False,186040.62740253558
1719885688,2048,0.05,marginal,,29.999999999999996,,True,0.0
1719885688,2048,0.1053,joint,30.070281978862926,29.999999999999996,0.07028197886292799,False,92872.72401200852
1719885688,2048,0.1053,marginal,,29.999999999999996,,True,0.0
1719885688,2048,0.2216,joint,30.18662790413513,29.999999999999996,0.18662790413513122,False,39483.3655435232
1719885688,2048,0.2216,marginal,,29.999999999999996,,True,0.0
1719885688,2048,0.4665,joint,29.953366688000028,29.999999999999996,0.046633311999969486,False,13139.239440002442
1719885688,2048,0.4665,marginal,,29.999999999999996,,True,0.0
1719885688,2048,0.9821,joint,29.763930492495007,29.999999999999996,0.23606950750499262,False,2571.59082894574
1719885688,2048,0.9821,marginal,,29.999999999999996,,True,0.0
1719885688,2048,2.0676,joint,31.17196616518461,29.999999999999996,1.1719661651846112,False,71.10917681167484
1719885688,2048,2.0676,marginal,,29.999999999999996,,True,0.0
