e,budget,n_components,arm,density
0.25,0,0,true,0.6860790171112691
0.26000000000000023,0,0,true,0.6679054116454817
0.27,0,0,true,0.6502132083613514
0.28000000000000025,0,0,true,0.6329896553555223
0.29000000000000004,0,0,true,0.6162223385108943
0.30000000000000027,0,0,true,0.5998991725489689
0.31000000000000005,0,0,true,0.5840083923192206
0.3200000000000003,0,0,true,0.5685385443191949
0.33000000000000007,0,0,true,0.553478478439241
0.33999999999999986,0,0,true,0.5388173399259094
0.3500000000000001,0,0,true,0.5245445615582386
0.3599999999999999,0,0,true,0.510649856031284
0.3700000000000001,0,0,true,0.49712320854139486
0.3799999999999999,0,0,true,0.48395486956790884
0.3900000000000001,0,0,true,0.47113534784604355
0.3999999999999999,0,0,true,0.45865540352593986
0.41000000000000014,0,0,true,0.4465060415129049
0.41999999999999993,0,0,true,0.43467850498407723
0.43000000000000016,0,0,true,0.42316426907681903
0.43999999999999995,0,0,true,0.41195503474430645
0.4500000000000002,0,0,true,0.4010427227738711
0.45999999999999996,0,0,true,0.39041946796379856
0.4700000000000002,0,0,true,0.3800776134543696
0.48,0,0,true,0.3700097052090759
0.4900000000000002,0,0,true,0.3602084866420147
0.5,0,0,true,0.3506668933876062
0.5100000000000002,0,0,true,0.3413780482088501
0.52,0,0,true,0.33233525604046377
0.5300000000000002,0,0,true,0.32353199916331704
0.54,0,0,true,0.3149619325066979
0.5500000000000003,0,0,true,0.30661887907501073
0.56,0,0,true,0.29849682549562356
0.5700000000000003,0,0,true,0.2905899176846422
0.5800000000000001,0,0,true,0.2828924566275004
0.5899999999999999,0,0,true,0.2753988942713126
0.6000000000000001,0,0,true,0.2681038295260381
0.6099999999999999,0,0,true,0.2610020043715712
0.6200000000000001,0,0,true,0.25408830006794664
0.6299999999999999,0,0,true,0.24735773346593903
0.6400000000000001,0,0,true,0.24080545341538573
0.6499999999999999,0,0,true,0.23442673726865454
0.6600000000000001,0,0,true,0.22821698747672728
0.6699999999999999,0,0,true,0.22217172827545406
0.6800000000000002,0,0,true,0.21628660245958115
0.69,0,0,true,0.21055736824223673
0.7000000000000002,0,0,true,0.20497989619760149
0.71,0,0,true,0.1995501662845688
0.7200000000000002,0,0,true,0.1942642649492421
0.73,0,0,true,0.1891183823041881
