init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01,laplace,3.0,0.95,0.2,6,0.025576343453271033,0.6349356294231173,0.0034281740201081404,178,1.0129901614382555
n01,laplace,3.0,0.95,0.2,7,0.015218534041026348,0.6349356294231173,0.0034281740201081404,178,1.0129901614382555
n01,laplace,3.0,0.95,0.2,8,0.0102166731469303,0.6349356294231173,0.0034281740201081404,178,1.0129901614382555
n01,laplace,3.0,0.95,0.4,1,0.41949683671687876,0.7182560763501995,0.003260784227148669,178,0.9910833604300872
n01,laplace,3.0,0.95,0.4,2,0.2863715164275452,0.7182560763501995,0.003260784227148669,178,0.9910833604300872
n01,laplace,3.0,0.95,0.4,3,0.19894638965404293,0.7182560763501995,0.003260784227148669,178,0.9910833604300872
n01,laplace,3.0,0.95,0.4,4,0.14614061107177354,0.7182560763501995,0.003260784227148669,178,0.9910833604300872
n01,laplace,3.0,0.95,0.4,5,0.1081341455837489,0.7182560763501995,0.003260784227148669,178,0.9910833604300872
n01,laplace,3.0,0.95,0.4,6,0.07486465051069767,0.7182560763501995,0.003260784227148669,178,0.9910833604300872
n01,laplace,3.0,0.95,0.4,7,0.05584420622422579,0.7182560763501995,0.003260784227148669,178,0.9910833604300872
n01,laplace,3.0,0.95,0.4,8,0.04034472213233513,0.7182560763501995,0.003260784227148669,178,0.9910833604300872
n01,laplace,3.0,0.95,0.8,1,0.5769959582991567,0.8281944017964422,0.008351100712737706,178,0.9924060486192684
n01,laplace,3.0,0.95,0.8,2,0.4219017320244256,0.8281944017964422,0.008351100712737706,178,0.9924060486192684
n01,laplace,3.0,0.95,0.8,3,0.3716177061061576,0.8281944017964422,0.008351100712737706,178,0.9924060486192684
n01,laplace,3.0,0.95,0.8,4,0.28844090316955745,0.8281944017964422,0.008351100712737706,178,0.9924060486192684
n01,laplace,3.0,0.95,0.8,5,0.2260679087910113,0.8281944017964422,0.008351100712737706,178,0.9924060486192684
n01,laplace,3.0,0.95,0.8,6,0.20242897575141122,0.8281944017964422,0.008351100712737706,178,0.9924060486192684
n01,laplace,3.0,0.95,0.8,7,0.1777516759104323,0.8281944017964422,0.008351100712737706,178,0.9924060486192684
n01,laplace,3.0,0.95,0.8,8,0.14965304552699057,0.8281944017964422,0.008351100712737706,178,0.9924060486192684
n01,laplace,3.0,0.95,1.6,1,0.48699667495917615,0.9028876488166931,0.00736628311752937,178,0.9889140188557908
n01,laplace,3.0,0.95,1.6,2,0.43702942849707366,0.9028876488166931,0.00736628311752937,178,0.9889140188557908
n01,laplace,3.0,0.95,1.6,3,0.42689778550934443,0.9028876488166931,0.00736628311752937,178,0.9889140188557908
n01,laplace,3.0,0.95,1.6,4,0.4010749827887706,0.9028876488166931,0.00736628311752937,178,0.9889140188557908
n01,laplace,3.0,0.95,1.6,5,0.3571495317729726,0.9028876488166931,0.00736628311752937,178,0.9889140188557908
n01,laplace,3.0,0.95,1.6,6,0.3094572953927776,0.9028876488166931,0.00736628311752937,178,0.9889140188557908
n01,laplace,3.0,0.95,1.6,7,0.27050623821253905,0.9028876488166931,0.00736628311752937,178,0.9889140188557908
n01,laplace,3.0,0.95,1.6,8,0.23497300449336966,0.9028876488166931,0.00736628311752937,178,0.9889140188557908
n01_exact,laplace,3.0,0.95,0.05,1,0.07123237735508336,0.4150772012590403,0.0019189022211310003,178,1.094237115329922
n01_exact,laplace,3.0,0.95,0.05,2,0.027443322886527528,0.4150772012590403,0.0019189022211310003,178,1.094237115329922
n01_exact,laplace,3.0,0.95,0.05,3,0.012253304039145383,0.4150772012590403,0.0019189022211310003,178,1.094237115329922
n01_exact,laplace,3.0,0.95,0.05,4,0.005035108030669354,0.4150772012590403,0.0019189022211310003,178,1.094237115329922
n01_exact,laplace,3.0,0.95,0.05,5,0.002005416217600546,0.4150772012590403,0.0019189022211310003,178,1.094237115329922
n01_exact,laplace,3.0,0.95,0.05,6,0.0008598858063953356,0.4150772012590403,0.0019189022211310003,178,1.094237115329922
n01_exact,laplace,3.0,0.95,0.05,7,0.00036403440406675066,0.4150772012590403,0.0019189022211310003,178,1.094237115329922
n01_exact,laplace,3.0,0.95,0.05,8,0.00014546362575710317,0.4150772012590403,0.0019189022211310003,178,1.094237115329922
n01_exact,laplace,3.0,0.95,0.1,1,0.132281818216018,0.5322888268670002,0.0064258736876184434,178,1.0611929948293304
n01_exact,laplace,3.0,0.95,0.1,2,0.06159871608028034,0.5322888268670002,0.0064258736876184434,178,1.0611929948293304
n01_exact,laplace,3.0,0.95,0.1,3,0.035843295927979045,0.5322888268670002,0.0064258736876184434,178,1.0611929948293304
n01_exact,laplace,3.0,0.95,0.1,4,0.017459768212944104,0.5322888268670002,0.0064258736876184434,178,1.0611929948293304
n01_exact,laplace,3.0,0.95,0.1,5,0.00873369362273779,0.5322888268670002,0.0064258736876184434,178,1.0611929948293304
n01_exact,laplace,3.0,0.95,0.1,6,0.004938059180283998,0.5322888268670002,0.0064258736876184434,178,1.0611929948293304
n01_exact,laplace,3.0,0.95,0.1,7,0.0030049851903963297,0.5322888268670002,0.0064258736876184434,178,1.0611929948293304
n01_exact,laplace,3.0,0.95,0.1,8,0.0015280287015658792,0.5322888268670002,0.0064258736876184434,178,1.0611929948293304
n01_exact,laplace,3.0,0.95,0.2,1,0.2291981055908096,0.6395347281916638,0.005427539282630909,178,1.0230664671621432
