t,trial,alpha,delta,posterior_mean_mse,posterior_mean_rel_error,score_mse,score_rel_error,score_cosine,score_max_abs_error,identity_residual,grid_self_conv_rel_error,legacy_vs_analytic_max_abs_mean
0.18,15,0.835270211411272,0.302323673928969,0.0024913872950367987,0.07159581731410813,0.019017390253509216,0.09159882150940409,0.9959329171211514,0.3904270425782106,8.756248756380627e-16,2.1593131166623336e-06,0.00018929256398614314
0.18,16,0.835270211411272,0.302323673928969,0.0009801871663574983,0.057253597815806384,0.007482016907301672,0.059653490208609085,0.999171293857622,0.15848766267567926,1.925905531795856e-15,1.9477525511342252e-06,3.1812668145225764e-05
0.18,17,0.835270211411272,0.302323673928969,0.0011416120760523926,0.03770948052156111,0.008714214129476209,0.06753618183501509,0.9982017409900933,0.22302640027171483,2.2608672267650693e-15,1.6959876417853532e-06,7.01535164698841e-05
0.18,18,0.835270211411272,0.302323673928969,0.002855257884311553,0.03738574258123453,0.021794906624327107,0.09970728331879167,0.9953266299802288,0.5136633424868486,2.0932183214096357e-15,1.0088595756082044e-06,0.005607341003545319
0.18,19,0.835270211411272,0.302323673928969,0.0032262427869155785,0.09613323877182509,0.02462672835073461,0.0888168522076511,0.9960804029528554,0.5490493950693285,1.3447570031153714e-15,8.887497996476903e-07,0.00010664612209415614
0.18,20,0.835270211411272,0.302323673928969,0.0034034051128255817,0.07735536323897477,0.025979053256927183,0.0921855343677177,0.9957590540949575,0.5070441463654023,1.8327106037522524e-15,1.4441633925178565e-06,0.0012104292902677116
0.18,21,0.835270211411272,0.302323673928969,0.0014420201808270873,0.05065294278269084,0.01100730528202345,0.09470158687176887,0.9956533251722686,0.33824863204671596,1.7597325248823765e-15,2.4666854919629892e-06,3.034010996938452e-05
0.18,22,0.835270211411272,0.302323673928969,0.001270885495286024,0.0286879552327724,0.009700990881476612,0.05996800532033383,0.998354016924331,0.23745920640855345,1.929295240942555e-15,1.1159116535573578e-06,0.00039887224363455154
0.18,23,0.835270211411272,0.302323673928969,0.007774050115396979,0.079955171208554,0.05934129357943083,0.16972869140750171,0.9886898778181893,0.7530174702980412,7.934713218148894e-16,7.983095749185197e-07,0.0002746758136245031
0.18,24,0.835270211411272,0.302323673928969,0.001948838760320644,0.03957006786169611,0.014875979868732297,0.09797971247538101,0.9959276246346105,0.360422035794024,2.1037593073418565e-15,1.7022164827332386e-06,0.0003436129351248596
0.18,25,0.835270211411272,0.302323673928969,0.0023168034780336683,0.04238935350600157,0.01768474775889991,0.08413049112912085,0.9964550977179035,0.4213003812106426,1.8281290641512253e-15,9.950568043633193e-07,0.00044005985084627497
0.18,26,0.835270211411272,0.302323673928969,0.0011359838950795221,0.03530230932543377,0.008671252798577698,0.07926308683389031,0.9979183743515361,0.24569406919454373,1.968429709639868e-15,1.7311029475082456e-06,5.297775867574295e-05
0.18,27,0.835270211411272,0.302323673928969,0.0010652905944802645,0.05235232150514649,0.008131632929566177,0.08450931004673672,0.997923819770057,0.21499953607656064,1.5548095764465918e-15,1.7110099879479761e-06,1.2863184453260068e-05
0.18,28,0.835270211411272,0.302323673928969,0.007084525082143621,0.07920556093565584,0.05407797435440871,0.16827357194233933,0.9883457145040712,0.8399464059466402,8.814903890819775e-16,8.595524181961167e-07,0.00322219287494252
0.18,29,0.835270211411272,0.302323673928969,0.0008932203004711214,0.02719998496279869,0.006818176792607105,0.05341763001444278,0.998769000918426,0.21863155417209468,2.9320534189595123e-15,1.136683553429342e-06,0.00012659397344383372
