t,trial,relative_score_error,score_cosine,posterior_mean_mse
0.27,21.0,0.22325773075386482,0.9799235897382957,0.019852514362576842
0.27,22.0,0.09870865494306542,0.9953085059968853,0.0037797662560525745
0.27,23.0,0.04245480364249577,0.9993520652812222,0.0010498891460081214
0.27,24.0,0.07663304117741875,0.9971192962670029,0.0022620430473638954
0.27,25.0,0.058827205471708194,0.9982864186466895,0.0017124134758753117
0.27,26.0,0.05042178442656101,0.9989586644124091,0.0011285255631548314
0.27,27.0,0.05917573195015149,0.9983609602792429,0.0012712330736111437
0.27,28.0,0.09759105706390077,0.9957918857495427,0.00450464519899653
0.27,29.0,0.06956663647853176,0.9977491788524647,0.003742663230087531
0.27,30.0,0.08996891849274603,0.9961241124097716,0.003970959279548839
0.27,31.0,0.06717430521271432,0.9977697272150008,0.001989864576459704
0.27,32.0,0.061773757382101994,0.9981491570596055,0.0022076391903718463
0.27,33.0,0.11837174602969941,0.993518641207935,0.0074046245904557766
0.27,34.0,0.07836080811743144,0.996932558856914,0.0029098684631375955
0.27,35.0,0.09031554518007535,0.9959950420712412,0.0035352184668680014
0.27,36.0,0.046335139040105056,0.9995861952127425,0.000878590841657955
0.27,37.0,0.04722785244845835,0.9992482816873237,0.0009875370790679858
0.27,38.0,0.050099603840021295,0.9992060310651943,0.0010391671844825088
0.27,39.0,0.05053951051827569,0.9988538250905045,0.0014098458397087549
0.27,40.0,0.05806739750736137,0.9983152895147097,0.0017904257182485067
0.27,41.0,0.05721525159255774,0.9983618898750554,0.0020745842708554444
0.27,42.0,0.05481160914273218,0.9989661363382835,0.0015168670519459197
0.27,43.0,0.05077143897315759,0.9990163626668379,0.000983074423869333
0.27,44.0,0.05287911263323851,0.9986800126806562,0.0014034407480557638
0.27,45.0,0.06281216052759639,0.9980262693797286,0.0016291938286699494
0.27,46.0,0.04383695941987209,0.9991626757360828,0.0008846574525529192
0.27,47.0,0.08614797677613069,0.9963703481938392,0.0033355279463013394
0.27,48.0,0.10681857543798343,0.9949560072268817,0.006107134101174665
0.27,49.0,0.05946995163748008,0.9982304761830353,0.001992418509655745
0.27,50.0,0.08722951150756758,0.996420083403918,0.0036185527878158036
0.27,51.0,0.06422124447915872,0.9980194235969037,0.002025751251541536
0.27,52.0,0.04578944828021379,0.9990070033041851,0.001109440160871214
0.27,53.0,0.12895077879147457,0.9926743285575526,0.007061643660199579
0.27,54.0,0.05126756380720497,0.9989291165015378,0.0008147621704921586
0.27,55.0,0.04466959773217583,0.9990462507969152,0.0009599438447339329
0.27,56.0,0.042017791042071616,0.9992311803694411,0.0011026361835873382
0.27,57.0,0.042931682372137465,0.9993693207084227,0.0009342934408988257
0.27,58.0,0.07579459954338719,0.9973665326264314,0.003575081168667037
0.27,59.0,0.11186569642588144,0.9943039197683786,0.010455705697190421
0.27,60.0,0.1856371700242205,0.9870272874971056,0.02131075644124474
0.27,61.0,0.04737190697146151,0.9993846450839611,0.00112445416863022
0.27,62.0,0.047742356685575096,0.9994922754589546,0.0007893841392760194
0.27,63.0,0.262280336962858,0.9697780276686938,0.015495044225678432
0.27,64.0,0.04342869735140796,0.9990943737783158,0.001137136015941245
0.27,65.0,0.050043509635418246,0.9995693135729591,0.0011453646811884232
0.27,66.0,0.12977357626640773,0.9936848982920324,0.011811281355436267
0.27,67.0,0.11724506478110487,0.9934650450456172,0.005522946589118405
0.27,68.0,0.06710275759332708,0.9978052888049488,0.0016792339225650823
0.27,69.0,0.06175514126099828,0.9981026356396946,0.0026250024890183987
0.27,70.0,0.15906849697289865,0.9890438881947117,0.014768043492081244
0.27,71.0,0.06709374887126353,0.9977490683039527,0.0022285268651668576
0.27,72.0,0.20769839898891254,0.9831570738954862,0.02152148716064449
0.27,73.0,0.04622626702468918,0.999157328267567,0.0010516954539143654
0.27,74.0,0.11598536177953307,0.9937357845305881,0.0071218364431311475
0.27,75.0,0.04448647736870345,0.9990934308992756,0.0012009479093706022
0.27,76.0,0.08133630407513173,0.9967914691830485,0.0037883768612714547
0.27,77.0,0.06738233488233022,0.9977321573805998,0.0023283894915088425
0.27,78.0,0.10744254301975528,0.9942585510688455,0.003952486864605605
0.27,79.0,0.050905709922705676,0.9991065261663232,0.0008178212707621446
0.27,80.0,0.05344280745857826,0.9988686345366425,0.000851610994447635
0.27,81.0,0.06898260110926029,0.9976178674219724,0.0018116295287686742
0.27,82.0,0.03877483208252581,0.999300621403188,0.0008721779619199001
0.27,83.0,0.05804903585023003,0.9983196608033494,0.0015144912845486832
0.27,84.0,0.04688952320549206,0.9990527133785719,0.0009888292449545092
0.27,85.0,0.047387874108490005,0.9992825235965668,0.0009538570333797912
0.27,86.0,0.04339219659510095,0.999262898249078,0.0008212870053742938
0.27,87.0,0.053060185756376874,0.9991893718652267,0.0009168998216659619
