arm,n_chains,rep,rho_err,q_err,rho_fitted,q_fitted
clean,1024,8,-0.0008470554801891517,0.00018467989887677172,0.7991529445198109,0.36018467989887665
noised,1024,8,0.006488930282938066,-0.010154420260920116,0.8064889302829381,0.34984557973907976
clean,1024,9,-0.006594171740626487,0.003816624408734648,0.7934058282593736,0.3638166244087345
noised,1024,9,-0.00931006794256084,0.0042443055762952375,0.7906899320574392,0.3642443055762951
clean,1024,10,-0.0006911660687788368,0.00040809319238838127,0.7993088339312212,0.36040809319238826
noised,1024,10,-0.004212250331016243,0.004603834303703758,0.7957877496689838,0.36460383430370363
clean,1024,11,0.0012887341328504665,-0.001337819350498315,0.8012887341328505,0.35866218064950156
noised,1024,11,0.002932538640188276,-0.0016177743959924218,0.8029325386401883,0.35838222560400745
clean,1024,12,-0.004681489443052578,0.001580317957928512,0.7953185105569475,0.3615803179579284
noised,1024,12,-0.005010396304740872,0.009081094980659121,0.7949896036952592,0.369081094980659
clean,1024,13,0.007764195859694456,-0.002726095513012061,0.8077641958596945,0.3572739044869878
noised,1024,13,0.007307344122342019,0.00036148267028812686,0.8073073441223421,0.360361482670288
clean,1024,14,0.002631831406852081,-0.0069573712865028114,0.8026318314068521,0.35304262871349706
noised,1024,14,-0.0005519775159223972,-0.0037834667625259444,0.7994480224840776,0.35621653323747393
clean,1024,15,-0.0026690840511204295,-0.0029434220069664563,0.7973309159488796,0.3570565779930334
noised,1024,15,0.001858839395775136,-0.01870776576429045,0.8018588393957752,0.3412922342357094
clean,1024,16,0.0024330003110413223,0.00040465461230243527,0.8024330003110414,0.3604046546123023
noised,1024,16,0.006796160676145857,-0.0013652688544664726,0.8067961606761459,0.3586347311455334
clean,1024,17,-0.0006425157709425422,-0.001996952475971314,0.7993574842290575,0.35800304752402856
noised,1024,17,0.003076776355987465,-0.0057873116731231855,0.8030767763559875,0.3542126883268767
clean,1024,18,-0.005005873026751595,0.0008457562520440831,0.7949941269732484,0.36084575625204396
noised,1024,18,-0.011396608354693138,0.00046894041931178077,0.7886033916453069,0.36046894041931166
clean,1024,19,0.0015555441312579132,-0.00045238274560432945,0.801555544131258,0.35954761725439555
noised,1024,19,0.00026091972280217757,0.0038372353789479785,0.8002609197228022,0.36383723537894785
clean,1024,20,0.004142342693473133,-0.0048081787502122775,0.8041423426934732,0.3551918212497876
noised,1024,20,0.009180738093365615,-0.008240071418588402,0.8091807380933657,0.3517599285814115
clean,1024,21,-0.00480955568415764,0.00018850221674016066,0.7951904443158424,0.36018850221674004
noised,1024,21,-0.0029373432383579257,0.0007051335936794079,0.7970626567616421,0.3607051335936793
clean,1024,22,-0.0050383253899356495,0.0005664319599490986,0.7949616746100644,0.360566431959949
noised,1024,22,-0.008183281067258075,0.00829283996044139,0.791816718932742,0.36829283996044127
clean,1024,23,-0.002173196628170171,0.0014023662089285294,0.7978268033718299,0.3614023662089284
noised,1024,23,-0.01089173867689519,0.001701970015291876,0.7891082613231049,0.36170197001529175
clean,1024,24,0.0060952053011336105,0.002820820655457301,0.8060952053011337,0.3628208206554572
noised,1024,24,0.0027352347228395413,0.019018990443894046,0.8027352347228396,0.3790189904438939
clean,1024,25,-0.0022866234928918816,-0.0010479865184439552,0.7977133765071082,0.3589520134815559
noised,1024,25,0.004915564144542195,-0.004514671343613608,0.8049155641445422,0.35548532865638627
clean,1024,26,-0.003938783228223719,0.0034056907675976134,0.7960612167717763,0.3634056907675975
noised,1024,26,-0.006749551800265485,0.012232660317355704,0.7932504481997346,0.3722326603173556
