family,rho,n_chains,t_eval,rep,t_train,rho_hat,q_hat,rho_abs_err,n_params_learned,rel_score_err_vs_true_params
mixture,0.85,1000,0.5,3,0.15,0.849351523716858,0.2723935086386859,0.0006484762831420188,2,0.004172379610614043
laplace,0.7,1000,0.5,3,0.15,0.696596692547295,0.5185444659503807,0.0034033074527050067,2,0.003556085312513826
mixture,0.85,500,0.15,1,0.15,0.8510444939455508,0.27691863431219294,0.0010444939455508395,2,0.0011057464143609892
student,0.85,250,1.2,3,0.15,0.8526228841250424,0.2801870636411805,0.002622884125042413,2,0.00342268403279793
student,0.7,500,0.5,1,0.15,0.6985824347805151,0.4905813957899965,0.0014175652194848842,2,0.010818965725836275
gaussian,0.7,500,1.2,1,0.15,0.6852408591824912,0.5309625839296394,0.014759140817508731,2,0.0038851556753839067
mixture,0.85,2000,0.15,4,0.15,0.8538897486053408,0.27836517192845156,0.003889748605340859,2,0.0031889005473779756
uniform,0.7,4000,0.15,0,0.15,0.7001650698153383,0.5053214458044945,0.00016506981533837006,2,0.004524529319913556
student,0.7,250,0.15,4,0.15,0.6902416778803472,0.47203186557509597,0.009758322119652774,2,0.039137867178613686
mixture,0.85,4000,0.15,2,0.15,0.849547717634158,0.28300068179081006,0.00045228236584193837,2,0.006975359618621584
student,0.7,1000,0.15,0,0.15,0.7021596739881025,0.5027330140221474,0.002159673988102573,2,0.0073416396141499675
student,0.85,2000,0.5,4,0.15,0.8476006793314056,0.2733814562682703,0.0023993206685943846,2,0.004973865991968502
mixture,0.7,250,0.5,4,0.15,0.7098630921143073,0.517175869288527,0.009863092114307359,2,0.010587414619301546
uniform,0.85,2000,1.2,0,0.15,0.8508110356033767,0.2744961231626996,0.0008110356033766974,2,0.0006627495658075949
uniform,0.7,1000,1.2,2,0.15,0.6987456895288308,0.5137670541801264,0.0012543104711691955,2,0.00041786604502654415
laplace,0.7,60,0.5,2,0.15,0.7127177494876049,0.5285541442969349,0.012717749487604957,2,0.017923578158577785
laplace,0.7,2000,0.15,2,0.15,0.6968758271446865,0.5219260566861276,0.003124172855313412,2,0.0118014436944447
laplace,0.7,125,1.2,3,0.15,0.7105286001424803,0.532401030296714,0.01052860014248036,2,0.009725490742182926
laplace,0.85,125,0.5,3,0.15,0.86367051408617,0.2599889995536874,0.013670514086170038,2,0.01236406322318661
gaussian,0.7,125,1.2,4,0.15,0.6800583429347108,0.5232645751529604,0.019941657065289164,2,0.006873184669678848
student,0.7,2000,1.2,1,0.15,0.7035728781056906,0.5178320671609209,0.0035728781056906245,2,0.003219574671035213
mixture,0.7,125,1.2,1,0.15,0.7117597458796516,0.515525112885178,0.011759745879651673,2,0.006795882118908573
laplace,0.7,4000,0.5,0,0.15,0.7004372955637644,0.5138585025691947,0.00043729556376448375,2,0.002216341124652447
gaussian,0.7,125,0.5,3,0.15,0.7042147727874,0.4943642498264772,0.004214772787400012,2,0.006730676822170991
uniform,0.85,2000,0.5,0,0.15,0.8494745069479096,0.2769913324511161,0.0005254930520903756,2,0.0008233054453269531
student,0.85,250,0.5,1,0.15,0.8446384235803555,0.3001499045051252,0.00536157641964452,2,0.013685046224460097
gaussian,0.85,60,0.15,2,0.15,0.8260620482647063,0.3084895643364901,0.023937951735293672,2,0.041810342832119554
laplace,0.85,1000,0.15,1,0.15,0.8520226417691984,0.2727479190458456,0.002022641769198419,2,0.006367189821823257
uniform,0.7,500,0.5,2,0.15,0.6872986732598035,0.5128043999308808,0.012701326740196417,2,0.009351094158061738
gaussian,0.7,500,0.5,1,0.15,0.6930844972661313,0.4974494815295923,0.00691550273386865,2,0.010783144370923554
student,0.85,2000,0.15,4,0.15,0.8496222947885135,0.27646968428408897,0.00037770521148650094,2,0.0013679392590086796
gaussian,0.85,1000,1.2,1,0.15,0.843802233930284,0.2841454193626619,0.006197766069716004,2,0.0035650889625040106
mixture,0.7,500,1.2,1,0.15,0.6882340333172559,0.5126657975704383,0.0117659666827441,2,0.0050481298721385655
uniform,0.7,500,0.15,4,0.15,0.6938908076782178,0.5144019081624809,0.0061091923217821975,2,0.006733222089835358
uniform,0.85,4000,1.2,1,0.15,0.8464367750660552,0.2778957031744617,0.0035632249339447863,2,0.002975315380332521
mixture,0.7,500,1.2,2,0.15,0.6855591193303797,0.5167331715693838,0.014440880669620237,2,0.005588569980593704
mixture,0.85,4000,0.5,4,0.15,0.8530643963348375,0.2726748607652548,0.0030643963348375713,2,0.00304537299855747
uniform,0.85,500,0.5,3,0.15,0.8544184284332167,0.2748008695312475,0.0044184284332167145,2,0.00370441355617989
student,0.7,500,1.2,0,0.15,0.6970583040481103,0.50584511304079,0.0029416959518896446,2,0.0022255111507717513
mixture,0.85,1000,1.2,1,0.15,0.8578078604495754,0.271256253466463,0.007807860449575377,2,0.0051626897487694785
uniform,0.7,500,0.5,0,0.15,0.6882975485159201,0.5266033674077772,0.01170245148407989,2,0.008158524012300277
uniform,0.7,60,1.2,3,0.15,0.7226550465409032,0.5213169770849889,0.022655046540903223,2,0.013294954470306503
gaussian,0.7,4000,0.15,0,0.15,0.6957258465210947,0.5114232058523634,0.0042741534789052515,2,0.0038005767609426986
laplace,0.7,1000,0.5,2,0.15,0.705435731125913,0.5057557062026043,0.0054357311259130014,2,0.0035229829819929705
student,0.7,60,1.2,3,0.15,0.6951457982837661,0.5152764494349854,0.0048542017162338524,2,0.0014914687603082629
student,0.85,500,0.5,2,0.15,0.8586294660939008,0.2602444154986769,0.008629466093900806,2,0.010600629158259026
uniform,0.85,500,0.15,3,0.15,0.8535968845038907,0.2774611238637424,0.0035968845038907293,2,0.0027749996638580386
gaussian,0.85,500,0.15,3,0.15,0.8504699341453695,0.2769877484080883,0.0004699341453695549,2,0.0007470949326951345
gaussian,0.7,2000,1.2,2,0.15,0.7032375984820217,0.5093529934380097,0.003237598482021764,2,0.001471359133159391
laplace,0.7,125,1.2,1,0.15,0.7001695609078412,0.46663071701257847,0.00016956090784125966,2,0.009264716081256705
uniform,0.85,1000,0.15,1,0.15,0.8521855750733499,0.274367456001746,0.0021855750733499324,2,0.004384735116446854
mixture,0.7,60,1.2,4,0.15,0.6927675787659556,0.4909056428670923,0.007232421234044328,2,0.007283684178467819
laplace,0.85,60,1.2,1,0.15,0.8493297976203557,0.28283703769092755,0.0006702023796443246,2,0.0016133332986557718
