stage,seed,n_chains,arch,region,hp,checkpoint,at_cap,n_params,sq_err,sq_ref,risk
screen,10000,32,bimp,bulk,"{""hidden"": 64, ""lr"": 0.003, ""parameterization"": ""x0""}",500,False,8965,282748.54892575846,1083969.239568798,0.5107304051283396
screen,10000,32,bimp,centre,"{""hidden"": 64, ""lr"": 0.003, ""parameterization"": ""x0""}",500,False,8965,10918.210798518596,44414.23562951278,0.495809268826906
screen,10000,32,bimp,all,"{""hidden"": 128, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,34309,289450.5625902044,1425250.9359114203,0.4506522373833919
screen,10000,32,bimp,bulk,"{""hidden"": 128, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,34309,182477.63528125844,1083969.239568798,0.4102951119942568
screen,10000,32,bimp,centre,"{""hidden"": 128, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,34309,7686.054621032766,44414.23562951278,0.4159974199312033
screen,10000,32,bimp,all,"{""hidden"": 128, ""lr"": 0.003, ""parameterization"": ""x0""}",1000,False,34309,461548.4854158321,1425250.9359114203,0.569066470493226
screen,10000,32,bimp,bulk,"{""hidden"": 128, ""lr"": 0.003, ""parameterization"": ""x0""}",1000,False,34309,357697.7497591535,1083969.239568798,0.5744465492704505
screen,10000,32,bimp,centre,"{""hidden"": 128, ""lr"": 0.003, ""parameterization"": ""x0""}",1000,False,34309,15040.615169455794,44414.23562951278,0.5819312821009482
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 64}",64000,True,4801,21527.301825245737,1425250.9359114203,0.12289922168500719
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 64}",64000,True,4801,14462.029463866493,1083969.239568798,0.11550642488385394
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 64}",64000,True,4801,594.381476885086,44414.23562951278,0.1156835313034808
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 128}",64000,True,17793,19901.08503264839,1425250.9359114203,0.11816604778677545
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 128}",64000,True,17793,14485.57901488588,1083969.239568798,0.11560043029334058
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 128}",64000,True,17793,612.4490660512292,44414.23562951278,0.11742860243781916
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 64}",32000,False,5057,18553.537250626243,1425250.9359114203,0.11409528376782435
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 64}",32000,False,5057,6763.910823164802,1083969.239568798,0.07899333643852174
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 64}",32000,False,5057,290.20586486215865,44414.23562951278,0.08083361403556787
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 128}",64000,True,18305,9372.841508704141,1425250.9359114203,0.08109423275509997
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 128}",64000,True,18305,5197.452582452055,1083969.239568798,0.06924473998975676
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 128}",64000,True,18305,215.29848029359673,44414.23562951278,0.06962406661154841
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 64}",32000,False,5569,14609.216357379837,1425250.9359114203,0.10124364981558236
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 64}",32000,False,5569,5313.316967451223,1083969.239568798,0.07001230615710437
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 64}",32000,False,5569,221.65258590102087,44414.23562951278,0.07064400376874494
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 128}",16000,False,19329,18925.128832059207,1425250.9359114203,0.11523217384269287
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 128}",16000,False,19329,6853.154895676834,1083969.239568798,0.07951275380811704
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 128}",16000,False,19329,290.5538123394149,44414.23562951278,0.080882057968028
