init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,student_t_nu5,0.85,1.6,6.0,77,5.587531887805897e-05,0.027481519487198694,2.4752844151067123e-06,0.0015376328075685465,0.9999989299212502,0.0032141729755473247
invariant,student_t_nu5,0.85,2.4,6.0,77,2.750542907010535e-06,0.00917589675347295,2.3013504335389883e-08,0.00016041407418105792,0.9999999886827701,0.00025322024195961745
invariant,student_t_nu8,0.85,0.02,1.5,64,0.00016166216983593302,0.014959763089507527,0.1010253853776509,0.13202170527814638,0.9915089252170783,1.0087889343508913
invariant,student_t_nu8,0.85,0.05,1.5,64,0.00024207471307763074,0.026067054218124483,0.024187308497451782,0.08802438299357773,0.9973533993129737,0.3325323192020304
invariant,student_t_nu8,0.85,0.1,1.5,64,0.0002612962611057828,0.020205343773555262,0.006510675319566596,0.051252793293881486,0.9989644481095383,0.18889498238555996
invariant,student_t_nu8,0.85,0.2,1.5,64,0.0003019441669070405,0.0249434843078825,0.001862189054421004,0.03262339605191681,0.9996340655674729,0.10790523461679402
invariant,student_t_nu8,0.85,0.4,1.5,64,0.00023525617540866452,0.019792413468939937,0.0003485948595201666,0.017834755371300984,0.9998465419263052,0.06130489568278774
invariant,student_t_nu8,0.85,0.8,1.5,64,8.291270605394084e-05,0.013594043390072084,2.628037194116225e-05,0.004964699996778495,0.9999899087749916,0.010987556580680957
invariant,student_t_nu8,0.85,1.6,1.5,64,5.9004187426399985e-06,0.00834329330890149,2.6138937279507143e-07,0.000568207396131372,0.9999998572666188,0.00102154567467444
invariant,student_t_nu8,0.85,2.4,1.5,64,1.537340851765741e-07,0.0021740738361628667,1.2862769843318824e-09,3.389681542376973e-05,0.9999999994758844,7.28217324858782e-05
invariant,gauss_mix_kappa0.3,0.85,0.02,-0.18,41,2.3888066700208096e-05,0.005627456233532233,0.014928051174648651,0.053111075971125535,0.9986671854781632,0.38186338377955487
invariant,gauss_mix_kappa0.3,0.85,0.05,-0.18,41,3.0341145967281224e-05,0.005220144328744739,0.003031587431610423,0.027030637116847236,0.9996384892660932,0.1529730219793103
invariant,gauss_mix_kappa0.3,0.85,0.1,-0.18,41,1.984450815650234e-05,0.00612023659810662,0.0004944622970750138,0.015166328517198506,0.9999005112307698,0.052206647279437135
invariant,gauss_mix_kappa0.3,0.85,0.2,-0.18,41,1.3782861302014364e-05,0.0048433356701074355,8.500344192148627e-05,0.0067798987406831775,0.9999779426573213,0.021926717373929927
invariant,gauss_mix_kappa0.3,0.85,0.4,-0.18,41,6.3066990203554035e-06,0.003892995058277231,9.345059083859654e-06,0.002558023033922042,0.999997304802744,0.007443952042561541
invariant,gauss_mix_kappa0.3,0.85,0.8,-0.18,41,1.984540812248914e-06,0.002163490869609387,6.290286876463556e-07,0.0007767494920183035,0.99999972248238,0.001728193351148155
