n_chains,t,em_bp_score_rel_l2,em_bp_mean_rel_l2,net_score_rel_l2_selected,net_mean_rel_l2_selected,net_score_rel_l2_oracle,net_mean_rel_l2_oracle,mode_selected,mode_oracle,selection_agrees,ratio_selected,ratio_oracle,seed
32,0.4,0.0552428193136921,0.0637032781680402,0.4990231686888188,0.5754487573627792,0.4990231686888188,0.5754487573627792,eps,eps,1,9.033267579178998,9.033267579178998,2
32,0.8,0.0417498582303739,0.115473207232024,0.2499608678634476,0.6913504456811166,0.2499608678634476,0.6913504456811166,x0,x0,1,5.987106985709367,5.987106985709367,2
32,1.6,0.0244892886070727,0.3013038845727895,0.0646389639242937,0.7952852872796491,0.0646389639242937,0.7952852872796491,x0,x0,1,2.6394790376077037,2.6394790376077037,2
64,0.1,0.1076731993832414,0.0359314337713666,1.2975255646436956,0.4329949714478943,1.2975255646436956,0.4329949714478943,eps,eps,1,12.050589859649389,12.050589859649389,2
64,0.2,0.0754641924053849,0.0448318641993234,0.8402763555883618,0.4991924548966839,0.8402763555883618,0.4991924548966839,eps,eps,1,11.1347690713298,11.1347690713298,2
64,0.4,0.0478573940543246,0.0551867722124842,0.4463859947099729,0.5147501801067327,0.4463859947099729,0.5147501801067327,eps,eps,1,9.327419587520046,9.327419587520046,2
64,0.8,0.0329520334064704,0.0911398779192419,0.2193519938114532,0.6066913592468194,0.2193519938114532,0.6066913592468194,x0,x0,1,6.656705858048243,6.656705858048243,2
64,1.6,0.0191521520142983,0.2356384414600779,0.0629416832019291,0.7744027993044257,0.0629416832019291,0.7744027993044257,x0,x0,1,3.286402653599396,3.286402653599396,2
128,0.1,0.1047153378398043,0.0349443710040145,1.1288022288069963,0.3766906041399049,1.1288022288069963,0.3766906041399049,eps,eps,1,10.779721978587904,10.779721978587904,2
128,0.2,0.0614386834584567,0.0364995718578471,0.7580828207983799,0.4503628143438236,0.7580828207983799,0.4503628143438236,eps,eps,1,12.338851976067753,12.338851976067753,2
128,0.4,0.0375747306392769,0.0433293149723401,0.415184791646836,0.4787705008904716,0.415184791646836,0.4787705008904716,x0,x0,1,11.04957466316052,11.04957466316052,2
128,0.8,0.021346369586097,0.059040530036422,0.1732652547747726,0.4792230565267134,0.1732652547747726,0.4792230565267134,x0,x0,1,8.116848819464888,8.116848819464888,2
128,1.6,0.0106215936517694,0.130682743748935,0.0412890733881365,0.507999983252415,0.0412890733881365,0.507999983252415,x0,x0,1,3.8872766876426623,3.8872766876426623,2
256,0.1,0.0390771186140103,0.0130403564442953,0.7592816524643065,0.2533785432736135,0.7592816524643065,0.2533785432736135,eps,eps,1,19.43033876075193,19.43033876075193,2
256,0.2,0.0259279473397552,0.0154033082055505,0.528809772885714,0.3141559880205603,0.528809772885714,0.3141559880205603,eps,eps,1,20.39535818074158,20.39535818074158,2
256,0.4,0.013107265137109,0.0151146477935922,0.3214182592218025,0.3706435882503707,0.3214182592218025,0.3706435882503707,x0,x0,1,24.522145227062552,24.522145227062552,2
256,0.8,0.0096809574798403,0.0267759282703559,0.1371764906946149,0.3794075000191733,0.1371764906946149,0.3794075000191733,x0,x0,1,14.169723498969082,14.169723498969082,2
256,1.6,0.0039710643696026,0.0488579778550329,0.0338327777195531,0.4162614731832167,0.0338327777195531,0.4162614731832167,x0,x0,1,8.519826064400606,8.519826064400606,2
512,0.1,0.0387992907345863,0.012947642991862,0.5191631558972231,0.1732490225934363,0.5191631558972231,0.1732490225934363,eps,eps,1,13.380738309075136,13.380738309075136,2
512,0.2,0.0228831881146518,0.0135944737405078,0.3621494225208478,0.2151461933508942,0.3621494225208478,0.2151461933508942,eps,eps,1,15.826003820200569,15.826003820200569,2
512,0.4,0.0118349611572619,0.0136474899738172,0.2547609891828125,0.2937777318735675,0.2547609891828125,0.2937777318735675,eps,eps,1,21.5261364864295,21.5261364864295,2
512,0.8,0.0122526898315009,0.0338889148857823,0.113099095854635,0.3128134055285352,0.113099095854635,0.3128134055285352,x0,x0,1,9.230552426444683,9.230552426444683,2
512,1.6,0.0099114096563892,0.1219449972180831,0.0291645954117752,0.3588265069906411,0.0291645954117752,0.3588265069906411,x0,x0,1,2.9425274933495267,2.9425274933495267,2
1024,0.1,0.0623240951189196,0.0207980640396421,0.3590609899725398,0.1198216107163218,0.3590609899725398,0.1198216107163218,eps,eps,1,5.761190584274367,5.761190584274367,2
1024,0.2,0.0368844755080314,0.0219123765103903,0.2600633091368612,0.1544987441967039,0.2600633091368612,0.1544987441967039,eps,eps,1,7.050752533548518,7.050752533548518,2
1024,0.4,0.0213983204338875,0.0246754813723082,0.1993788622692486,0.229913811093586,0.1993788622692486,0.229913811093586,eps,eps,1,9.317500543337085,9.317500543337085,2
1024,0.8,0.0121429490554227,0.0335853900376748,0.0928746191981286,0.2568758459030764,0.0928746191981286,0.2568758459030764,x0,x0,1,7.64844015850113,7.64844015850113,2
1024,1.6,0.0050418770317863,0.0620327180421566,0.0260484088297453,0.3204865152789977,0.0260484088297453,0.3204865152789977,x0,x0,1,5.166410974627921,5.166410974627921,2
2048,0.1,0.0317538810118748,0.010596531719105,0.2744545750073546,0.0915877529562869,0.2744545750073546,0.0915877529562869,eps,eps,1,8.643182069767096,8.643182069767096,2
2048,0.2,0.0190648168750662,0.011326050857823,0.2032261649411749,0.1207328606850884,0.2032261649411749,0.1207328606850884,eps,eps,1,10.659749121795288,10.659749121795288,2
2048,0.4,0.0074721705669812,0.0086165363401261,0.1632051673400464,0.1882001009848471,0.1632051673400464,0.1882001009848471,eps,eps,1,21.84173472447648,21.84173472447648,2
2048,0.8,0.004410825370729,0.0121996139313334,0.0797567542901814,0.2205939997564693,0.0797567542901814,0.2205939997564693,x0,x0,1,18.082047595776423,18.082047595776423,2
2048,1.6,0.0009046056031822,0.0111298121647522,0.0263515587546888,0.3242163194174098,0.0263515587546888,0.3242163194174098,x0,x0,1,29.130439455590505,29.130439455590505,2
4096,0.1,0.0304846289728839,0.0101729718561176,0.2164901686633146,0.0722445529810141,0.2164901686633146,0.0722445529810141,eps,eps,1,7.10161730542572,7.10161730542572,2
4096,0.2,0.013944616632177,0.0082842357313927,0.1605715503693746,0.0953925525600792,0.1605715503693746,0.0953925525600792,eps,eps,1,11.514949073526909,11.514949073526909,2
4096,0.4,0.004780263213431,0.0055123623483526,0.1338713947054537,0.1543738498797311,0.1338713947054537,0.1543738498797311,eps,eps,1,28.005025817264144,28.005025817264144,2
