seed,n_chains,n_components,inits_tried,val_log_evidence_per_edge,test_log_evidence_per_edge,schedule_score_risk,hellinger_weighted_mean_sq,hellinger_weighted_mean,s_min_over_h,effective_n_components,em_iters_used,em_converged
0,512,16,2,-1.3090836131783763,-1.3052491648036435,0.20188377417601877,0.027534978169660395,0.16401518013652577,2.1586959400866124,13.4850663404681,1201,False
1,512,1,2,-1.3684951238918814,-1.3633542984840588,0.3259586824522572,0.05165759344058063,0.2093258376545007,11.94693011773827,1.0,65,True
1,512,2,2,-1.4198434270095635,-1.4115559516501188,0.7776045120805561,0.1635921313923051,0.39264933774258076,2.0724404000343473,1.159235742270537,1201,False
1,512,4,2,-1.4300005634989843,-1.423126510680287,0.8360243055923546,0.21027882309065843,0.45432369156615193,2.096892067412965,2.9786626859678655,1201,False
1,512,8,2,-1.4282011137682324,-1.4213246237844712,0.8152940161212864,0.22169566159979548,0.46654277770031916,2.116758911687458,5.9445829759944555,1201,False
1,512,16,2,-1.4278863921325209,-1.4210437110559682,0.8133674763566,0.22216253669570726,0.46676314466708413,2.0325804421401,12.107528068878082,1201,False
2,512,1,2,-1.30596648232736,-1.3074115235718582,0.2373822982109616,0.01906928866603363,0.13769722924081013,10.680309826035685,1.0,96,True
2,512,2,2,-1.3328614102693526,-1.3330291206062916,0.5100738024646435,0.09352495636839794,0.3057229615710627,2.9074482799163484,1.1748069113798885,1201,False
2,512,4,2,-1.3409227698474888,-1.3411046125929384,0.5667070542188718,0.1197622483429677,0.3459935141060936,1.8965746886337502,3.136860866866372,1201,False
2,512,8,2,-1.3415262943228066,-1.341648002176799,0.5738823958899828,0.11708130322401325,0.3420835457775442,1.7199115720970946,6.53537329108495,1201,False
2,512,16,2,-1.3415393945153842,-1.34167686292033,0.5735105202122114,0.11741824813053196,0.34257989979285686,1.6779637732820112,12.995848398142625,1201,False
3,512,1,2,-1.3048503861188865,-1.3062009639815313,0.2004194786454639,0.015568346473185368,0.12476347148772304,11.480827159184557,1.0,97,True
3,512,2,2,-1.308561667133814,-1.3095000680003002,0.23408078202016577,0.019728592446220716,0.14043985159566452,8.492935283022822,1.9847366602068826,1201,False
3,512,4,2,-1.3087344598306752,-1.3096412904496697,0.23546360372163738,0.020194916401081404,0.14209275534960475,8.350703552124356,3.766887217414935,1201,False
3,512,8,2,-1.3083235867457743,-1.3092141907952488,0.22769211646543686,0.019584845302871648,0.13992889827928728,7.836130984629454,7.811808598644162,1201,False
3,512,16,2,-1.308309754420922,-1.3091985303507165,0.22731267095016078,0.019612911173724722,0.14002897738178624,7.93884310889059,15.385342251353174,1201,False
4,512,1,2,-1.5210095074510697,-1.5150520952993431,0.9424503325852536,0.16240690133856894,0.402988094295736,4.3117981120733,1.0,1201,False
4,512,2,2,-1.6152025987406904,-1.5989098427828508,1.0157854296114666,0.1706012817152066,0.40901960230601936,2.86814086641029,1.1788799222465296,1201,False
4,512,4,2,-1.617190166996558,-1.6005754581196845,1.004870179585916,0.167655566102222,0.4051220710090139,2.522137065693397,2.656593032915811,1201,False
4,512,8,2,-1.5741814785482848,-1.5592354319337054,0.7978710323512689,0.16371067998937278,0.4000080689614059,1.927521854069164,5.297568077033953,1201,False
4,512,16,2,-1.6175132975240258,-1.6005573902567154,0.9684920682728644,0.16833907654703661,0.4056804414349954,1.8231740555613722,11.884619103932234,1201,False
5,512,1,2,-1.3125404792284223,-1.3197670531953865,0.22953297952549584,0.030198500632646917,0.16911353021543207,14.321323134042373,1.0,58,True
5,512,2,2,-1.3158988446792486,-1.3237285021033032,0.283255961215745,0.03772638361158213,0.18989953443829874,4.037063400353852,1.365028958673974,1201,False
5,512,4,2,-1.3176359512517641,-1.3256739620683309,0.31249108422047145,0.05088111009751589,0.2231380048549591,3.688768916695965,3.7153314331348177,1201,False
5,512,8,2,-1.3187598954047763,-1.3269255586147428,0.3364205418443818,0.05234304971274918,0.22591446425549488,3.2245051899362127,7.6538253518956685,1201,False
5,512,16,2,-1.3191723062455567,-1.3273901877037961,0.34555263327950325,0.05267290045242054,0.22642890842599994,3.0733773290926774,14.623395091858958,1201,False
6,512,1,2,-1.308490493482588,-1.3033368778539778,0.18222056833484634,0.018223705310226306,0.1337508723200263,12.588731601551745,1.0,71,True
6,512,2,2,-1.3100851118429555,-1.3045074614110521,0.17783075735937345,0.018542868851996477,0.13382460684532393,7.536683809037403,1.9388857262680526,1201,False
6,512,4,2,-1.3106231468974248,-1.3051763821897975,0.24240419355202475,0.04278186312998064,0.20518639376027478,4.164401076291111,3.3174759013338226,1201,False
6,512,8,2,-1.3106599383347175,-1.3052060472720624,0.24434513982888312,0.04104904812740471,0.2008356041214977,3.320028661756446,6.615363417199945,1201,False
6,512,16,2,-1.3106832543740063,-1.3052175970303213,0.24483530675989096,0.0411544709057582,0.2010831861783416,2.984697559302014,10.873608707491378,1201,False
7,512,1,2,-1.3293794601091669,-1.328162427739723,0.20128968407042241,0.03137731483227783,0.17681419607003712,14.836829435109296,1.0,53,True
7,512,2,2,-1.3303371148710936,-1.3290868288236093,0.24311462401991568,0.03991768714253776,0.19976380724225584,4.157949669817234,1.514551508035773,1201,False
7,512,4,2,-1.3306693830679346,-1.329400779898282,0.25027701918772566,0.041675629038566406,0.2041165977733479,3.8759473842254124,3.664949416826634,1201,False
7,512,8,2,-1.3315144631169704,-1.330212346031859,0.2670355138251089,0.050948237462355835,0.22567282956958915,3.631395413482211,7.234991198378022,1201,False
7,512,16,2,-1.330814787407433,-1.3295386087520717,0.2520727594422572,0.04516651087693627,0.21249088249442621,3.3045915738979463,13.697202911438033,1201,False
8,512,1,2,-1.3238263436831303,-1.3273881724145717,0.23871957699053167,0.03618208913743992,0.19001739967518555,16.142064227387998,1.0,45,True
8,512,2,2,-1.3233625597422074,-1.3268360091595988,0.18981590809392648,0.02737512440851158,0.16442758590580134,2.217700262352335,1.6452897473619914,1201,False
8,512,4,2,-1.3259558497086086,-1.3299201258695879,0.29656007467491974,0.09712062366351025,0.3116096088879306,3.8823402268470226,2.8002350784792878,1201,False
8,512,8,2,-1.325966372100828,-1.3298430022867347,0.29093311270256117,0.09557865513946602,0.30912524166401856,3.536723751922016,5.267890033919007,1201,False
